Date,Id,Invst_Unconsolidated_Subdrs
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,613
2009,116,1187
2010,116,931
2011,116,777
2012,116,951
2013,116,905
2014,116,974
2015,116,0
2016,116,306
2017,116,281
2018,116,380
2019,116,115
2020,116,173
2008,117,192
2009,117,1144
2010,117,1256
2011,117,1379
2012,117,2245
2013,117,4099
2014,117,4792
2015,117,4763
2016,117,3869
2017,117,3937
2018,117,3976
2019,117,3984
2020,117,4384
2008,118,148
2009,118,149
2010,118,167
2011,118,0
2012,118,0
2013,118,0
2014,118,0
2015,118,16552
2016,118,18561
2017,118,24252
2018,118,7248
2019,118,1506
2020,118,0
2008,119,370
2009,119,414
2010,119,911
2011,119,628
2012,119,1512
2013,119,1148
2014,119,539
2015,119,389
2016,119,344
2017,119,617
2018,119,1294
2019,119,1289
2020,119,1268
2008,120,
2009,120,
2010,120,
2011,120,14076
2012,120,14976
2013,120,61647
2014,120,52796
2015,120,57076
2016,120,54973
2017,120,50581
2018,120,55651
2019,120,55772
2020,120,78590
2008,121,
2009,121,
2010,121,
2011,121,614000
2012,121,464000
2013,121,489000
2014,121,523491
2015,121,515760
2016,121,478740
2017,121,492060
2018,121,483960
2019,121,490600
2020,121,466011
2008,122,25721
2009,122,23843
2010,122,22491
2011,122,23508
2012,122,25545
2013,122,23346
2014,122,24837
2015,122,4964
2016,122,5125
2017,122,5069
2018,122,6222
2019,122,6622
2020,122,6745
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,65
2015,123,75
2016,123,10
2017,123,0
2018,123,493
2019,123,497
2020,123,507
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,8
2016,124,8
2017,124,8
2018,124,8
2019,124,8
2020,124,10721
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,0
2016,125,0
2017,125,0
2018,125,0
2019,125,0
2020,125,0
2008,126,5219
2009,126,10626
2010,126,41044
2011,126,63120
