Date,Id,income taxes
2008,140,-2559
2009,140,1320
2010,140,1998
2011,140,672
2012,140,2000
2013,140,1161
2014,140,395
2015,140,-593
2016,140,494
2017,140,6
2018,140,2
2019,140,
2020,140,
2008,141,11739
2009,141,-1587
2010,141,8814
2011,141,-754
2012,141,-7977
2013,141,-2592
2014,141,1608
2015,141,861
2016,141,-2226
2017,141,-10007
2018,141,-4180
2019,141,-9844
2020,141,-12479
2008,142,7996
2009,142,7401
2010,142,12640
2011,142,13027
2012,142,9940
2013,142,5620
2014,142,973
2015,142,-1040
2016,142,9700
2017,142,10800
2018,142,14700
2019,142,14000
2020,142,-5500
2008,143,358
2009,143,7081
2010,143,-2278
