Date,Id,reinvestment 
2010,88,-10.7
2011,88,-68.75
2012,88,-120.53
2013,88,-208.25
2014,88,-435.23
2015,88,-395.77
2016,88,-71.81
2017,88,-23.1
2018,88,-72.66
2019,88,
2020,88,
2008,89,
2009,89,-3.41
2010,89,-15.21
2011,89,-14.54
2012,89,-13.05
2013,89,-10.76
2014,89,-12.27
2015,89,-5.47
2016,89,8.72
2017,89,-8.42
2018,89,-6.76
2019,89,
2020,89,
2008,90,
2009,90,
2010,90,15.1
2011,90,13.51
2012,90,11.1
2013,90,11.46
2014,90,10.16
2015,90,2.33
2016,90,1.7
2017,90,0.96
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,
2014,91,
2015,91,
2016,91,13.59
2017,91,4.54
2018,91,9.28
2019,91,7.17
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,
2015,92,-13.54
2016,92,-30.19
2017,92,-89.87
2018,92,
2019,92,
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,-7.13
2009,95,11.35
2010,95,8.98
2011,95,9.48
2012,95,8.25
2013,95,0.87
2014,95,9.02
2015,95,7.96
2016,95,9.13
2017,95,13.57
2018,95,12.13
2019,95,17.06
2020,95,6.93
2008,96,-53.45
2009,96,-42.45
2010,96,-11.32
2011,96,-270.29
2012,96,
2013,96,
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,-2.26
2009,97,-4.93
2010,97,-36.26
2011,97,-272.3
2012,97,
2013,97,13.11
2014,97,0.18
2015,97,-2.92
2016,97,0.39
2017,97,-7.27
2018,97,3.52
2019,97,2
2020,97,-6.57
2008,98,22.45
2009,98,31.64
2010,98,25.74
2011,98,22.37
2012,98,16.91
2013,98,13.65
2014,98,11.47
2015,98,12.07
2016,98,10.97
2017,98,13.29
2018,98,14.83
2019,98,15.94
2020,98,21.46
2008,99,8.71
2009,99,1.64
2010,99,8.58
2011,99,-1.03
2012,99,-3.58
2013,99,-20.53
2014,99,2.52
2015,99,4.88
2016,99,3.53
2017,99,
2018,99,
2019,99,
2020,99,
2008,100,4.89
2009,100,3.11
2010,100,7.32
2011,100,4.99
2012,100,10.03
2013,100,8.82
2014,100,8.99
2015,100,9.93
2016,100,5
2017,100,2.83
2018,100,12.4
2019,100,7.12
2020,100,9.75
2008,101,2.24
2009,101,4.18
2010,101,-0.85
2011,101,-2.72
2012,101,-14.38
2013,101,3.8
2014,101,-11.28
2015,101,2.43
2016,101,1.37
2017,101,-0.6
2018,101,-6.63
2019,101,-0.02
2020,101,23.93
2008,102,1.95
2009,102,0.19
2010,102,2.24
2011,102,3.46
2012,102,3.22
2013,102,-0.26
2014,102,0.75
2015,102,5.01
2016,102,-5.13
2017,102,0.16
2018,102,-0.95
2019,102,2.84
2020,102,-1.65
2008,103,-57.24
2009,103,-41.84
2010,103,-140.15
2011,103,-63.55
2012,103,28.95
2013,103,-27.38
2014,103,117.91
2015,103,47.34
2016,103,20.17
2017,103,-45.45
2018,103,
2019,103,
2020,103,
2008,104,33.58
2009,104,30.84
2010,104,17.28
2011,104,17.53
2012,104,17.55
2013,104,7.8
2014,104,8.29
2015,104,6.31
2016,104,5.38
2017,104,3.81
2018,104,4.66
2019,104,53.43
2020,104,-11.35
2008,105,16.94
2009,105,-24.97
2010,105,-18.24
2011,105,-18.8
2012,105,1.3
2013,105,3.4
2014,105,1.05
2015,105,-36.66
2016,105,-17.98
2017,105,31.37
2018,105,-16.47
2019,105,-18.44
2020,105,15.31
2008,106,11.31
2009,106,5.21
2010,106,6.61
2011,106,0.91
2012,106,3.66
2013,106,4.27
2014,106,4.15
2015,106,2.92
2016,106,6.84
2017,106,5.72
2018,106,9.29
2019,106,6.27
2020,106,5.56
2008,107,-42.86
2009,107,-93.69
2010,107,-99.14
2011,107,-87.08
2012,107,-116.82
2013,107,-529.36
2014,107,
2015,107,
2016,107,
2017,107,
2018,107,
2019,107,
2020,107,417.97
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,-33.84
2015,108,-7.94
2016,108,8.39
2017,108,5.6
2018,108,1.65
2019,108,7.42
2020,108,0.8
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,79.15
2013,109,22.93
2014,109,11.86
2015,109,17.28
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,
2009,110,-1128.66
2010,110,
2011,110,
2012,110,
2013,110,
2014,110,
2015,110,-1501.02
2016,110,-354.57
2017,110,128.32
2018,110,-49.61
2019,110,-125.56
2020,110,
2008,111,2.88
2009,111,-8.39
2010,111,-9.44
2011,111,-7.81
2012,111,-6.45
2013,111,-8.16
2014,111,-25.29
2015,111,-18.2
2016,111,-9.79
2017,111,-12.34
2018,111,-8.75
2019,111,31.56
2020,111,13.44
2008,112,9.18
2009,112,5.22
2010,112,-11.32
2011,112,-6.06
2012,112,7.33
2013,112,4.21
2014,112,1.69
2015,112,13.57
2016,112,15.48
2017,112,6.04
2018,112,6.66
2019,112,39.43
2020,112,
2008,113,13.13
2009,113,-19.14
2010,113,-4.33
2011,113,-2.01
2012,113,-5.6
2013,113,1.43
2014,113,3.45
2015,113,8.43
2016,113,12.99
2017,113,16.97
2018,113,15.03
2019,113,5.97
2020,113,1.17
2008,114,-19.08
2009,114,-0.5
2010,114,6.19
2011,114,3.47
2012,114,-0.42
2013,114,-12.85
2014,114,13.36
2015,114,4.45
2016,114,8.61
2017,114,-21.68
2018,114,-12.09
2019,114,-49.7
2020,114,
2008,115,5.36
2009,115,-21.16
2010,115,-1.28
2011,115,1.54
2012,115,1.36
2013,115,-2.17
2014,115,0.37
2015,115,
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,7.28
2009,116,5.5
2010,116,6.64
2011,116,3.18
2012,116,0.16
2013,116,3.08
2014,116,-6.83
2015,116,3.12
2016,116,3.2
2017,116,7.73
2018,116,8.27
2019,116,5.04
2020,116,6.85
2008,117,
2009,117,40.31
2010,117,7.55
2011,117,9.31
2012,117,10.65
2013,117,6.4
2014,117,5.32
2015,117,8.03
2016,117,-7.37
2017,117,-2.99
2018,117,0.06
2019,117,6.64
2020,117,-6.41
2008,118,8.92
2009,118,-45.79
2010,118,-9.06
2011,118,6.29
2012,118,-24.7
2013,118,2.54
2014,118,-18.22
2015,118,-26.72
2016,118,-24.2
2017,118,5.2
2018,118,3.19
2019,118,12.58
2020,118,-25.13
2008,119,25.34
2009,119,7.97
2010,119,6.27
2011,119,10.02
2012,119,10.43
2013,119,6.17
2014,119,8.56
2015,119,17.91
2016,119,11.35
2017,119,15.63
2018,119,18.33
2019,119,16.07
2020,119,13.02
2008,120,
2009,120,
2010,120,
2011,120,
2012,120,
2013,120,
2014,120,5.87
2015,120,-14.27
2016,120,2.29
2017,120,3.46
2018,120,4.51
2019,120,-12.58
2020,120,-26.97
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,
2013,121,11.42
2014,121,7.2
2015,121,0.58
2016,121,-9.11
2017,121,3.55
2018,121,15.23
2019,121,11.61
2020,121,-12.93
2008,122,19.32
2009,122,15.28
2010,122,18.95
2011,122,15.13
2012,122,13.07
2013,122,10.32
2014,122,8.83
2015,122,9.47
2016,122,4.63
2017,122,2.4
2018,122,2.77
2019,122,2.98
2020,122,3.59
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,
2015,123,15.15
2016,123,14.93
2017,123,-6.18
2018,123,-1.99
2019,123,3.93
