Date,Id,dividend type
2011,136,
2012,136, YR 
2013,136,
2014,136, YR 
2015,136, YR 
2016,136, YR 
2017,136, YR 
2018,136,
2019,136,
2020,136, YR 
2008,137,
2009,137, YR 
2010,137, YR 
2011,137, YR 
2012,137, YR 
2013,137, YR 
2014,137, YR 
2015,137, YR 
2016,137, YR 
2017,137, CMB
2018,137, YR 
2019,137, YR 
2020,137,
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,
2009,139,
2010,139,
2011,139,
2012,139,
2013,139,
2014,139,
2015,139,
2016,139, EXT
2017,139,
2018,139,
2019,139,
2020,139,
2008,140,
2009,140,
2010,140,
2011,140,
2012,140,
2013,140,
2014,140,
2015,140,
2016,140,
2017,140,
2018,140,
2019,140,
2020,140,
2008,141,
2009,141, YR 
2010,141, YR 
2011,141, YR 
2012,141, YR 
2013,141,
2014,141,
2015,141,
2016,141,
2017,141,
2018,141,
2019,141,
2020,141,
2008,142,
2009,142, CMB
2010,142, YR 
2011,142, INT
2012,142, INT
2013,142, FIN
2014,142, YR 
2015,142, YR 
2016,142, YR 
2017,142, YR 
2018,142, YR 
2019,142, YR 
2020,142,
2008,143,
2009,143,
2010,143,
2011,143,
2012,143,
2013,143,
2014,143,
2015,143,
2016,143,
2017,143,
2018,143,
2019,143,
2020,143,
2008,144,
2009,144, YR 
2010,144,
2011,144,
2012,144,
2013,144,
2014,144,
2015,144,
2016,144,
2017,144,
2018,144,
2019,144,
2020,144,
2008,145,
2009,145,
2010,145, YR 
2011,145, YR 
2012,145, YR 
2013,145, YR 
2014,145,
2015,145,
2016,145,
2017,145,
2018,145,
2019,145, YR 
2020,145,
2008,146,
2009,146,
2010,146, YR 
2011,146,
2012,146,
2013,146,
2014,146,
2015,146,
2016,146,
2017,146,
2018,146,
2019,146,
2020,146,
2008,147,
2009,147,
2010,147,
2011,147, YR 
2012,147,
2013,147,
2014,147,
2015,147,
2016,147,
2017,147,
2018,147,
2019,147,
2020,147,
2008,148,
2009,148,
2010,148,
2011,148,
2012,148,
2013,148,
2014,148,
2015,148,
2016,148,
2017,148,
