Date,Id,employees
2019,134,5709
2020,134,6075
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,408
2013,135,401
2014,135,426
2015,135,422
2016,135,435
2017,135,448
2018,135,464
2019,135,548
2020,135,471
2008,136,141
2009,136,168
2010,136,165
2011,136,150
2012,136,145
2013,136,138
2014,136,133
2015,136,218
2016,136,239
2017,136,266
2018,136,177
2019,136,195
2020,136,219
2008,137,86
2009,137,84
2010,137,96
2011,137,92
2012,137,92
2013,137,92
2014,137,101
2015,137,114
2016,137,120
2017,137,163
2018,137,174
2019,137,186
2020,137,174
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,73
2009,139,27
2010,139,26
2011,139,28
2012,139,26
2013,139,25
2014,139,30
2015,139,31
2016,139,36
2017,139,41
2018,139,49
2019,139,51
2020,139,53
2008,140,767
2009,140,741
2010,140,758
2011,140,780
2012,140,810
2013,140,698
2014,140,651
2015,140,
2016,140,
2017,140,
2018,140,
2019,140,
2020,140,
2008,141,1234
2009,141,1109
2010,141,1079
2011,141,1060
2012,141,976
2013,141,924
2014,141,843
2015,141,801
2016,141,746
2017,141,671
2018,141,640
2019,141,611
2020,141,596
2008,142,264
2009,142,255
2010,142,261
2011,142,275
2012,142,290
2013,142,737
2014,142,737
2015,142,773
2016,142,776
2017,142,4092
2018,142,4044
2019,142,4027
2020,142,3908
2008,143,1465
2009,143,1402
2010,143,1320
2011,143,1190
2012,143,1175
2013,143,1090
2014,143,1028
2015,143,
2016,143,
2017,143,
2018,143,
2019,143,911
2020,143,
2008,144,2255
2009,144,2202
2010,144,2092
2011,144,1911
2012,144,1868
2013,144,1817
2014,144,1228
2015,144,
2016,144,
2017,144,
2018,144,956
2019,144,905
2020,144,863
2008,145,259
2009,145,245
2010,145,233
2011,145,212
2012,145,198
2013,145,187
2014,145,
2015,145,
2016,145,
2017,145,
2018,145,
2019,145,100
2020,145,
2008,146,433
2009,146,448
2010,146,471
2011,146,465
