Date,Id,bvs
2014,115,1.401
2015,115,1.576
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,8.956
2009,116,9.489
2010,116,10.594
2011,116,10.592
2012,116,10.257
2013,116,10.228
2014,116,9.602
2015,116,9.68
2016,116,9.824
2017,116,10.186
2018,116,10.682
2019,116,10.035
2020,116,10.101
2008,117,0.092
2009,117,0.122
2010,117,0.172
2011,117,0.193
2012,117,0.215
2013,117,0.211
2014,117,0.245
2015,117,0.281
2016,117,0.25
2017,117,0.224
2018,117,0.225
2019,117,0.239
2020,117,0.115
2008,118,2.632
2009,118,1.56
2010,118,1.495
2011,118,1.529
2012,118,1.061
2013,118,0.971
2014,118,0.765
2015,118,0.566
2016,118,0.932
2017,118,0.916
2018,118,0.842
2019,118,0.833
2020,118,0.699
2008,119,2.151
2009,119,2.543
2010,119,3.005
2011,119,3.36
2012,119,3.851
2013,119,4.034
2014,119,4.447
2015,119,5.727
2016,119,6.32
2017,119,7.074
2018,119,8.192
2019,119,9.839
2020,119,10.684
2008,120,
2009,120,
2010,120,
2011,120,0.752
2012,120,0.756
2013,120,0.78
2014,120,0.774
2015,120,0.673
2016,120,0.642
2017,120,0.733
2018,120,0.727
2019,120,0.602
2020,120,0.449
2008,121,
2009,121,
2010,121,
2011,121,3.272
2012,121,3.431
2013,121,4.077
2014,121,4.597
2015,121,4.848
2016,121,4.611
2017,121,4.178
2018,121,4.794
2019,121,5.166
2020,121,4.023
2008,122,9.058
2009,122,10.739
2010,122,13.309
2011,122,15.35
2012,122,17.704
2013,122,19.119
2014,122,20.799
2015,122,23.023
2016,122,23.879
2017,122,24.443
2018,122,24.911
2019,122,25.535
2020,122,26.032
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,0.597
2015,123,0.695
2016,123,0.778
2017,123,0.785
2018,123,0.542
2019,123,0.555
2020,123,0.575
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,1.889
2016,124,1.931
2017,124,1.988
2018,124,2.003
2019,124,2.017
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,6.272
2016,125,6.711
2017,125,6.238
2018,125,6.442
2019,125,6.997
2020,125,6.617
2008,126,1.216
2009,126,1.124
2010,126,0.935
2011,126,0.892
2012,126,0.849
2013,126,0.639
2014,126,1.081
2015,126,1.092
2016,126,1.08
2017,126,1.118
2018,126,1.164
2019,126,1.159
2020,126,1.172
2008,127,21.354
2009,127,23.464
2010,127,25.291
2011,127,25.219
2012,127,24.373
2013,127,25.033
2014,127,25.604
2015,127,27.341
2016,127,30.41
2017,127,34.317
2018,127,38.179
2019,127,40.488
2020,127,41.472
2008,128,5.377
2009,128,5.811
