Date,Id,treasury
2019,108,0
2020,108,0
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,0
2013,109,0
2014,109,0
2015,109,0
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,
2009,110,
2010,110,
2011,110,
2012,110,
2013,110,0
2014,110,0
2015,110,0
2016,110,0
2017,110,0
2018,110,0
2019,110,0
2020,110,0
2008,111,0
2009,111,4522
2010,111,14555
2011,111,14555
2012,111,14555
2013,111,14555
2014,111,7555
2015,111,7555
2016,111,7555
2017,111,2581
2018,111,2496
2019,111,7843
2020,111,7843
2008,112,108
2009,112,255
2010,112,0
2011,112,24
2012,112,56
2013,112,6
2014,112,6
2015,112,6
2016,112,6
2017,112,6
2018,112,107
2019,112,107
2020,112,
2008,113,711
2009,113,486
2010,113,486
2011,113,486
2012,113,486
2013,113,486
2014,113,390
2015,113,10
2016,113,10
2017,113,10
2018,113,0
2019,113,0
2020,113,0
2008,114,
2009,114,
2010,114,
2011,114,
2012,114,
2013,114,10
2014,114,10
2015,114,10
2016,114,10
2017,114,10
2018,114,10
2019,114,10
2020,114,
2008,115,0
2009,115,0
2010,115,0
2011,115,0
2012,115,0
2013,115,0
2014,115,0
2015,115,18
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,4
2009,116,33
2010,116,33
2011,116,33
2012,116,261
2013,116,1
2014,116,1
2015,116,62
2016,116,233
2017,116,382
2018,116,515
2019,116,170
2020,116,347
2008,117,
2009,117,
2010,117,
2011,117,
2012,117,2388
2013,117,3666
2014,117,4890
2015,117,8382
2016,117,8875
2017,117,8875
2018,117,8875
2019,117,8875
2020,117,4712
2008,118,525
2009,118,962
2010,118,1386
2011,118,2239
2012,118,2933
2013,118,2991
2014,118,3038
2015,118,3038
2016,118,3038
2017,118,0
2018,118,2627
2019,118,2627
2020,118,2627
2008,119,5374
2009,119,3661
2010,119,3060
2011,119,5484
2012,119,7349
2013,119,3104
2014,119,5281
2015,119,1126
2016,119,2282
2017,119,1562
2018,119,3413
2019,119,2225
2020,119,2222
2008,120,
2009,120,
2010,120,
2011,120,0
2012,120,0
2013,120,0
2014,120,0
2015,120,0
2016,120,0
2017,120,4707
2018,120,4707
2019,120,7226
2020,120,4540
2008,121,
2009,121,
2010,121,
2011,121,0
2012,121,0
2013,121,0
2014,121,0
2015,121,0
2016,121,1279
2017,121,808
2018,121,10568
2019,121,14268
2020,121,10490
2008,122,3272
2009,122,4260
2010,122,4244
2011,122,4244
2012,122,7450
2013,122,6907
2014,122,6907
2015,122,6907
2016,122,6907
2017,122,6907
2018,122,6907
2019,122,6907
2020,122,6907
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,0
2015,123,0
2016,123,34
2017,123,73
2018,123,73
2019,123,73
2020,123,55
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,0
2016,124,0
2017,124,126
2018,124,149
2019,124,149
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,46
2016,125,99
2017,125,138
2018,125,158
2019,125,0
2020,125,28
2008,126,6838
2009,126,8349
2010,126,7739
2011,126,7739
2012,126,9721
2013,126,9721
2014,126,8586
2015,126,7732
2016,126,5725
2017,126,5725
2018,126,5725
2019,126,5725
2020,126,6567
2008,127,0
2009,127,0
2010,127,0
2011,127,0
2012,127,0
2013,127,0
2014,127,0
2015,127,0
2016,127,0
2017,127,0
2018,127,0
2019,127,0
2020,127,0
2008,128,0
2009,128,0
2010,128,
2011,128,
2012,128,0
2013,128,0
2014,128,0
2015,128,0
2016,128,0
2017,128,0
2018,128,0
2019,128,
2020,128,
2008,129,754
2009,129,1959
2010,129,2697
2011,129,2833
2012,129,2833
2013,129,3570
2014,129,3632
2015,129,586
2016,129,658
2017,129,658
2018,129,
2019,129,
2020,129,
2008,130,214
2009,130,118
2010,130,52
2011,130,5
2012,130,4
2013,130,4
2014,130,1
2015,130,0
2016,130,0
2017,130,0
2018,130,0
2019,130,
2020,130,
2008,131,0
2009,131,0
2010,131,0
2011,131,0
2012,131,0
2013,131,0
2014,131,0
2015,131,0
2016,131,0
2017,131,0
2018,131,0
2019,131,0
2020,131,0
2008,132,13286
2009,132,13286
2010,132,13286
2011,132,13286
2012,132,13286
2013,132,12837
2014,132,12628
2015,132,2402
2016,132,5436
2017,132,7982
2018,132,7819
2019,132,7773
2020,132,6960
2008,133,0
2009,133,0
2010,133,0
2011,133,
2012,133,0
2013,133,0
2014,133,0
2015,133,0
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,2517
2009,134,2668
2010,134,3183
2011,134,3344
2012,134,3353
2013,134,3463
2014,134,4179
2015,134,4922
2016,134,6497
2017,134,6578
2018,134,7612
2019,134,9965
2020,134,10742
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,0
2013,135,0
2014,135,0
2015,135,0
2016,135,0
2017,135,0
2018,135,0
2019,135,0
2020,135,0
2008,136,117
2009,136,459
2010,136,525
2011,136,525
2012,136,525
2013,136,525
2014,136,525
2015,136,452
2016,136,130
2017,136,130
2018,136,0
2019,136,0
2020,136,0
2008,137,
2009,137,
2010,137,
2011,137,
2012,137,21
2013,137,24
2014,137,111
2015,137,245
2016,137,69
2017,137,10
2018,137,3
2019,137,21
2020,137,115
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,0
2009,139,0
2010,139,0
2011,139,0
2012,139,0
2013,139,0
2014,139,0
2015,139,0
2016,139,0
2017,139,0
2018,139,0
2019,139,0
2020,139,0
2008,140,0
2009,140,0
2010,140,0
2011,140,0
2012,140,0
2013,140,0
2014,140,0
2015,140,0
2016,140,0
2017,140,0
2018,140,0
2019,140,
2020,140,
2008,141,0
2009,141,0
2010,141,0
2011,141,132
2012,141,434
2013,141,869
2014,141,1313
2015,141,1846
2016,141,2127
2017,141,2304
2018,141,18210
2019,141,18210
2020,141,18210
2008,142,932
2009,142,771
2010,142,771
2011,142,771
2012,142,451
2013,142,1
2014,142,1
2015,142,1
2016,142,1
2017,142,1
2018,142,1
2019,142,1
2020,142,1
2008,143,679
2009,143,704
2010,143,706
2011,143,1103
2012,143,1304
2013,143,0
2014,143,0
2015,143,0
2016,143,0
2017,143,0
2018,143,0
2019,143,0
2020,143,
2008,144,1411
2009,144,1188
2010,144,802
2011,144,802
2012,144,802
2013,144,802
2014,144,802
2015,144,802
2016,144,802
2017,144,330
2018,144,330
2019,144,330
2020,144,330
2008,145,
2009,145,
2010,145,
2011,145,
2012,145,
2013,145,0
2014,145,0
2015,145,0
2016,145,0
2017,145,0
2018,145,0
2019,145,0
2020,145,0
2008,146,
2009,146,0
2010,146,0
2011,146,0
2012,146,0
2013,146,0
2014,146,171
2015,146,171
2016,146,171
2017,146,171
2018,146,171
2019,146,171
2020,146,0
2008,147,20098
2009,147,22368
2010,147,22368
2011,147,9396
2012,147,10436
2013,147,14954
2014,147,0
2015,147,0
2016,147,80
2017,147,920
2018,147,1347
2019,147,2938
2020,147,1650
2008,148,2142
2009,148,3185
2010,148,3284
2011,148,3646
2012,148,4309
2013,148,5476
2014,148,5664
2015,148,5664
2016,148,5664
2017,148,5664
2018,148,0
2019,148,0
2020,148,
2008,149,6635
2009,149,7980
2010,149,8020
2011,149,12520
2012,149,14925
2013,149,16060
2014,149,18149
2015,149,20979
2016,149,21396
2017,149,21851
2018,149,21968
2019,149,18631
2020,149,
2008,150,44826
2009,150,44826
2010,150,44826
2011,150,44826
2012,150,44826
2013,150,44826
2014,150,44826
2015,150,44826
2016,150,44826
2017,150,44826
2018,150,43958
2019,150,43283
2020,150,42035
2008,151,
2009,151,
2010,151,
2011,151,0
2012,151,0
2013,151,0
2014,151,0
2015,151,108
2016,151,341
2017,151,341
2018,151,331
2019,151,50
2020,151,303
2008,152,
2009,152,
2010,152,
2011,152,
2012,152,
2013,152,
2014,152,0
2015,152,0
2016,152,0
2017,152,0
2018,152,0
2019,152,0
2020,152,0
2008,153,1346
2009,153,1346
2010,153,1346
2011,153,4848
2012,153,4848
2013,153,5355
2014,153,4575
2015,153,4575
2016,153,4575
2017,153,4575
2018,153,4542
2019,153,4482
