Date,Id,common stock
2017,107,17547
2018,107,17547
2019,107,17547
2020,107,17547
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,13555
2014,108,13555
2015,108,37171
2016,108,37171
2017,108,37261
2018,108,46799
2019,108,46876
2020,108,46967
2008,109,
2009,109,2000
2010,109,100
2011,109,2000
2012,109,2000
2013,109,2120
2014,109,2122
2015,109,2122
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,9530
2009,110,12095
2010,110,9403
2011,110,120
2012,110,124
2013,110,709
2014,110,721
2015,110,721
2016,110,907
2017,110,933
2018,110,933
2019,110,933
2020,110,946
2008,111,82963
2009,111,82963
2010,111,54996
2011,111,54996
2012,111,54996
2013,111,54996
2014,111,54996
2015,111,
2016,111,
2017,111,
2018,111,
2019,111,
2020,111,
2008,112,17732
2009,112,17732
2010,112,17732
2011,112,19151
2012,112,19151
2013,112,19151
2014,112,19151
2015,112,19505
2016,112,20415
2017,112,20415
2018,112,20415
2019,112,22471
2020,112,
2008,113,27393
2009,113,27393
2010,113,27393
2011,113,27393
2012,113,27393
2013,113,27393
2014,113,27393
2015,113,27393
2016,113,27393
2017,113,27393
2018,113,27393
2019,113,27393
2020,113,27393
2008,114,5123
2009,114,5123
2010,114,5123
2011,114,5123
2012,114,5123
2013,114,5123
2014,114,5123
2015,114,5123
2016,114,5123
2017,114,5123
2018,114,5123
2019,114,5123
2020,114,
2008,115,6498
2009,115,6498
2010,115,6498
2011,115,6498
2012,115,6498
2013,115,6498
2014,115,6498
2015,115,6498
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,11533
2009,116,11533
2010,116,11533
2011,116,11533
2012,116,11533
2013,116,11533
2014,116,11533
2015,116,11533
2016,116,11533
2017,116,11533
2018,116,11533
2019,116,11533
2020,116,11533
2008,117,9058
2009,117,9058
2010,117,10708
2011,117,10708
2012,117,10708
2013,117,10708
2014,117,10708
2015,117,10708
2016,117,10708
2017,117,10708
2018,117,10708
2019,117,10708
2020,117,15702
2008,118,21840
2009,118,23915
2010,118,23915
2011,118,23915
2012,118,23915
2013,118,23915
2014,118,23915
2015,118,23915
2016,118,23915
2017,118,41453
2018,118,41453
2019,118,41453
2020,118,41453
2008,119,37417
2009,119,48414
2010,119,49193
2011,119,47936
2012,119,52796
2013,119,55003
2014,119,53871
2015,119,56032
2016,119,55431
2017,119,55805
2018,119,54842
2019,119,55460
2020,119,55462
2008,120,
2009,120,
2010,120,
2011,120,633481
2012,120,633481
2013,120,633481
2014,120,862981
2015,120,862981
2016,120,862981
2017,120,862981
2018,120,862981
2019,120,862981
2020,120,862981
2008,121,
2009,121,
2010,121,
2011,121,1913000
2012,121,1919000
2013,121,18000
2014,121,20675
2015,121,23025
2016,121,23700
2017,121,20850
2018,121,21800
2019,121,22300
2020,121,20475
2008,122,81305
2009,122,81305
2010,122,81305
2011,122,81305
2012,122,81305
2013,122,81305
2014,122,81303
2015,122,81305
2016,122,81305
2017,122,81305
2018,122,81305
2019,122,81305
2020,122,81305
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,190
2015,123,190
2016,123,190
2017,123,188
2018,123,2130
2019,123,2130
2020,123,2130
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,7727
2016,124,7902
2017,124,8194
2018,124,8456
2019,124,8456
2020,124,8456
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,62496
2016,125,62496
2017,125,62704
2018,125,62704
2019,125,62704
2020,125,62704
2008,126,250009
2009,126,250015
2010,126,297014
2011,126,297041
2012,126,314225
2013,126,314225
2014,126,314225
2015,126,314225
2016,126,314225
2017,126,335069
2018,126,335069
2019,126,335069
2020,126,335069
2008,127,9056
2009,127,9056
2010,127,9056
2011,127,9056
2012,127,9056
2013,127,9056
2014,127,9056
2015,127,9056
2016,127,9056
2017,127,9056
2018,127,9056
2019,127,9056
2020,127,9056
2008,128,113750
2009,128,113750
2010,128,113751
2011,128,113751
2012,128,113751
2013,128,113751
2014,128,113751
2015,128,113754
2016,128,113768
2017,128,113771
2018,128,113771
2019,128,
2020,128,
2008,129,35971
2009,129,35971
2010,129,35971
2011,129,35971
2012,129,35971
2013,129,35971
2014,129,35971
2015,129,35971
2016,129,35971
2017,129,35971
2018,129,
2019,129,
2020,129,
2008,130,49257
2009,130,49194
2010,130,59708
2011,130,69998
2012,130,79998
2013,130,89998
2014,130,99999
2015,130,100000
2016,130,100000
2017,130,100000
2018,130,100000
2019,130,
2020,130,
2008,131,16269
2009,131,16269
2010,131,16269
2011,131,16269
2012,131,16269
2013,131,16269
2014,131,16269
2015,131,30710
2016,131,30710
2017,131,30710
2018,131,30710
2019,131,30710
2020,131,30710
2008,132,571712
2009,132,571712
2010,132,600297
2011,132,630312
2012,132,661828
2013,132,825784
2014,132,825784
2015,132,825784
2016,132,825784
2017,132,825784
2018,132,825784
2019,132,826000
2020,132,826000
2008,133,70418
2009,133,70418
2010,133,93891
2011,133,93891
2012,133,93891
2013,133,93891
2014,133,93891
2015,133,93891
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,42742
2009,134,42667
2010,134,42405
2011,134,42324
2012,134,42324
2013,134,42268
2014,134,41911
2015,134,41539
2016,134,46221
2017,134,46221
2018,134,45704
2019,134,65274
2020,134,64886
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,74000
2013,135,74000
2014,135,74000
2015,135,90250
2016,135,90314
2017,135,90314
2018,135,90314
2019,135,90314
2020,135,90314
2008,136,5644
2009,136,5644
2010,136,5644
2011,136,5644
2012,136,5644
2013,136,5644
2014,136,5644
2015,136,5644
2016,136,5644
2017,136,5704
2018,136,5704
2019,136,5704
2020,136,5704
2008,137,1057
2009,137,1048
2010,137,1026
2011,137,1049
2012,137,1098
2013,137,1098
2014,137,1086
2015,137,1073
2016,137,1087
2017,137,1097
2018,137,1100
2019,137,1098
2020,137,1088
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,2202
2009,139,2202
2010,139,2202
2011,139,2202
2012,139,13212
2013,139,13212
2014,139,13212
2015,139,13212
2016,139,14361
2017,139,15308
2018,139,18207
2019,139,18207
2020,139,19957
2008,140,4641
2009,140,9282
2010,140,9282
2011,140,9282
2012,140,9282
2013,140,9282
2014,140,9448
2015,140,9448
2016,140,1627
2017,140,1627
2018,140,1627
2019,140,
2020,140,
2008,141,125000
2009,141,125000
2010,141,125000
2011,141,125000
2012,141,125000
2013,141,125000
2014,141,125000
2015,141,125000
2016,141,125000
2017,141,125000
