Date,Id,cash dividends paid
2014,135,0
2015,135,0
2016,135,6137
2017,135,10007
2018,135,14161
2019,135,16220
2020,135,0
2008,136,1128
2009,136,1103
2010,136,0
2011,136,0
2012,136,0
2013,136,951
2014,136,0
2015,136,960
2016,136,1818
2017,136,1834
2018,136,2139
2019,136,0
2020,136,0
2008,137,2475
2009,137,1891
2010,137,1339
2011,137,1632
2012,137,2678
2013,137,3070
2014,137,3514
2015,137,3465
2016,137,3755
2017,137,10921
2018,137,4607
2019,137,5492
2020,137,0
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,0
2009,139,0
2010,139,0
2011,139,0
2012,139,0
2013,139,0
2014,139,0
2015,139,0
2016,139,2033
2017,139,0
2018,139,0
2019,139,0
2020,139,0
2008,140,0
2009,140,2607
2010,140,2739
2011,140,2773
2012,140,1940
2013,140,2104
2014,140,0
2015,140,0
2016,140,0
2017,140,0
2018,140,0
2019,140,
2020,140,
2008,141,25139
2009,141,7250
2010,141,6250
2011,141,6250
2012,141,3746
2013,141,0
2014,141,0
2015,141,0
2016,141,0
2017,141,0
2018,141,0
2019,141,0
2020,141,0
2008,142,31141
2009,142,15452
2010,142,15515
2011,142,29633
2012,142,20559
2013,142,10905
2014,142,21152
2015,142,21152
2016,142,15700
2017,142,6700
2018,142,13400
2019,142,31200
2020,142,0
2008,143,0
2009,143,0
2010,143,0
2011,143,50
2012,143,287
2013,143,59
2014,143,0
2015,143,0
2016,143,0
2017,143,0
2018,143,0
2019,143,208
2020,143,
2008,144,13911
2009,144,10249
2010,144,0
2011,144,128
2012,144,204
2013,144,132
2014,144,214
2015,144,114
2016,144,0
2017,144,0
2018,144,0
2019,144,0
2020,144,0
2008,145,0
2009,145,1500
2010,145,243
2011,145,503
2012,145,2012
2013,145,610
2014,145,0
2015,145,0
2016,145,0
2017,145,0
2018,145,0
2019,145,2012
2020,145,
2008,146,1026
2009,146,0
2010,146,0
2011,146,0
2012,146,0
2013,146,0
2014,146,0
2015,146,0
2016,146,0
2017,146,0
2018,146,0
2019,146,0
2020,146,0
2008,147,83766
2009,147,0
2010,147,0
2011,147,40301
2012,147,0
2013,147,0
2014,147,0
2015,147,0
2016,147,0
2017,147,0
2018,147,0
2019,147,0
2020,147,0
2008,148,0
2009,148,0
2010,148,24
2011,148,52
2012,148,253
2013,148,63
2014,148,0
2015,148,0
2016,148,0
