Date,Id,dividend yield
2013,90,0
2014,90,0
2015,90,0
2016,90,0
2017,90,0
2018,90,0
2019,90,0
2020,90,0
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,0
2014,91,0
2015,91,0
2016,91,0
2017,91,1.41
2018,91,1.97
2019,91,4.91
2020,91,0
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,7.16
2015,92,8.77
2016,92,14.42
2017,92,0
2018,92,0
2019,92,0.16
2020,92,0
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,0
2015,93,0
2016,93,0
2017,93,0
2018,93,0
2019,93,0
2020,93,0
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,4.83
2009,95,0
2010,95,0.88
2011,95,1.01
2012,95,0.99
2013,95,1.06
2014,95,0.88
2015,95,0.54
2016,95,0.48
2017,95,0.55
2018,95,0.78
2019,95,0.55
2020,95,0
2008,96,0
2009,96,0
2010,96,0
2011,96,0
2012,96,0
2013,96,0
2014,96,0
2015,96,0
2016,96,0
2017,96,0
2018,96,0
2019,96,0
2020,96,0
2008,97,0
2009,97,0
2010,97,0
2011,97,0
2012,97,0
2013,97,0
2014,97,0
2015,97,0
2016,97,0
2017,97,0
2018,97,0
2019,97,0
2020,97,0
2008,98,0.7
2009,98,0.48
2010,98,0.62
2011,98,2.05
2012,98,1.52
2013,98,1.47
2014,98,1.65
2015,98,1.24
2016,98,1.16
2017,98,1.08
2018,98,1.2
2019,98,0.78
2020,98,0.56
2008,99,
2009,99,0
2010,99,1.86
2011,99,3.11
2012,99,2.89
2013,99,0
2014,99,0
2015,99,1.13
2016,99,1.12
2017,99,0.68
2018,99,0.68
2019,99,0.68
2020,99,0.68
2008,100,4.17
2009,100,1.9
2010,100,1.36
2011,100,2.14
2012,100,3.02
2013,100,2.44
2014,100,2.67
2015,100,1.48
2016,100,1.95
2017,100,3.17
2018,100,1.67
2019,100,1.96
2020,100,2.09
2008,101,10.13
2009,101,10.53
2010,101,0.86
2011,101,0
2012,101,0
2013,101,0
2014,101,0.71
2015,101,0
2016,101,0
2017,101,1.34
2018,101,0
2019,101,0
2020,101,0
2008,102,5.81
2009,102,0.97
2010,102,0
2011,102,3.23
2012,102,2.51
2013,102,1.42
2014,102,1.61
2015,102,1.43
2016,102,0.53
2017,102,0
2018,102,0
2019,102,0
2020,102,0
2008,103,0
2009,103,0
2010,103,0
2011,103,0
2012,103,0
2013,103,0
2014,103,0
2015,103,0
2016,103,0
2017,103,0
2018,103,0
2019,103,0
2020,103,0
2008,104,0
2009,104,5.41
2010,104,4.26
2011,104,6.49
2012,104,3.8
2013,104,1.12
2014,104,1.41
2015,104,2.99
2016,104,3.5
2017,104,2.21
2018,104,3.56
2019,104,3.24
2020,104,0
2008,105,0
2009,105,0
2010,105,0
2011,105,0
2012,105,0
2013,105,0
2014,105,0
2015,105,0
2016,105,0
2017,105,0
2018,105,0
2019,105,0
2020,105,0
2008,106,5.56
2009,106,4.3
2010,106,3.38
2011,106,10.57
2012,106,4.62
2013,106,2.44
2014,106,2.91
2015,106,3.25
2016,106,2.75
2017,106,2.44
2018,106,2.8
2019,106,4.93
2020,106,0
2008,107,0
2009,107,0
2010,107,0
2011,107,0
2012,107,0
2013,107,0
2014,107,0
2015,107,0
2016,107,0
2017,107,0
2018,107,0
2019,107,0
2020,107,0
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,0
2014,108,0
2015,108,18.43
2016,108,0.66
2017,108,0.46
2018,108,0.64
2019,108,0.56
2020,108,0
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,
2013,109,0
2014,109,0
2015,109,1.94
2016,109,1.96
2017,109,1.96
2018,109,1.96
2019,109,1.96
2020,109,1.96
2008,110,0
2009,110,0
2010,110,0
2011,110,0
2012,110,0
2013,110,0
2014,110,0
2015,110,0
2016,110,0
2017,110,0
2018,110,0
2019,110,0
2020,110,0
2008,111,4.73
2009,111,0
2010,111,0
2011,111,0
2012,111,0
2013,111,0
2014,111,0
2015,111,0
2016,111,0
2017,111,0
2018,111,0
2019,111,0
2020,111,0
2008,112,6.41
2009,112,7
2010,112,6.15
2011,112,6.81
2012,112,6.94
2013,112,3.41
2014,112,3.44
2015,112,2.6
2016,112,2.43
2017,112,2.36
2018,112,3.12
2019,112,3.12
2020,112,0
2008,113,11.41
2009,113,0
2010,113,0
2011,113,0
2012,113,0
2013,113,0
2014,113,2
2015,113,2.26
2016,113,1.88
2017,113,0.85
2018,113,2.8
2019,113,3.23
2020,113,0
2008,114,0
2009,114,0
2010,114,0
2011,114,0
2012,114,0
2013,114,0
2014,114,0
2015,114,3.92
2016,114,7.17
2017,114,2.89
2018,114,0
2019,114,0
2020,114,0
2008,115,6.53
2009,115,2.2
2010,115,0
2011,115,0
2012,115,1.94
2013,115,1.74
2014,115,1.25
2015,115,0.89
2016,115,0.82
2017,115,0.82
2018,115,0.82
2019,115,0.82
2020,115,0.82
2008,116,4.67
2009,116,4.3
2010,116,1.96
2011,116,7.15
2012,116,6.82
2013,116,2.72
2014,116,10.74
2015,116,12.33
2016,116,4.62
2017,116,2.41
2018,116,3.7
2019,116,4.1
2020,116,2.33
2008,117,
2009,117,
2010,117,0
2011,117,7.4
2012,117,6.53
2013,117,4.7
2014,117,2.71
2015,117,3.54
2016,117,4.59
2017,117,0
2018,117,0
2019,117,0
2020,117,0
2008,118,6.87
2009,118,0
2010,118,0
2011,118,0
2012,118,0
2013,118,0
2014,118,0
2015,118,0
2016,118,0
2017,118,0
2018,118,10.12
2019,118,5.86
2020,118,0
