Date,Id,cash
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,9726
2013,82,20688
2014,82,32774
2015,82,19593
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,8960
2009,83,11323
2010,83,9021
2011,83,8410
2012,83,7751
2013,83,17412
2014,83,62846
2015,83,78116
2016,83,50456
2017,83,24686
2018,83,25338
2019,83,37805
2020,83,43154
2008,84,623351
2009,84,585625
2010,84,612322
2011,84,506241
2012,84,670750
2013,84,961095
2014,84,348885
2015,84,312643
2016,84,333263
2017,84,263065
2018,84,247790
2019,84,309336
2020,84,424546
2008,85,4314
2009,85,1707
2010,85,2210
2011,85,2564
2012,85,3137
2013,85,2716
2014,85,2376
2015,85,23146
2016,85,29331
2017,85,19128
2018,85,31180
2019,85,40382
2020,85,62985
2008,86,623351
2009,86,585625
2010,86,612322
2011,86,506241
2012,86,670750
2013,86,961095
2014,86,348885
2015,86,312643
2016,86,333263
2017,86,263065
2018,86,247790
2019,86,309336
2020,86,424546
2008,87,11246
2009,87,3083
2010,87,2423
2011,87,1358
2012,87,3210
2013,87,1476
2014,87,1716
2015,87,973
2016,87,5463
2017,87,1571
2018,87,296
2019,87,920
2020,87,
2008,88,1
2009,88,131
2010,88,0
2011,88,1
2012,88,2
2013,88,0
2014,88,445
2015,88,166
2016,88,819
2017,88,261
2018,88,275
2019,88,
2020,88,
2008,89,66
2009,89,234
2010,89,246
2011,89,241
2012,89,227
2013,89,7501
2014,89,10200
2015,89,9568
2016,89,8599
2017,89,9993
2018,89,10289
2019,89,
2020,89,
2008,90,11
2009,90,35007
2010,90,24188
2011,90,22743
2012,90,35766
2013,90,58267
2014,90,118017
2015,90,130320
2016,90,155447
2017,90,262333
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,529
2013,91,2212
2014,91,1786
2015,91,846
2016,91,2154
2017,91,2634
2018,91,6465
2019,91,3124
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,2726
2015,92,1947
2016,92,2
2017,92,1
2018,92,2
2019,92,4
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,678
2009,95,96922
2010,95,122329
2011,95,102184
2012,95,1348
2013,95,1439
2014,95,132857
2015,95,156551
2016,95,183834
2017,95,124082
2018,95,89915
2019,95,138371
2020,95,545027
2008,96,67
2009,96,26
2010,96,46
2011,96,27
2012,96,2
2013,96,1
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,125
2009,97,120
2010,97,115
2011,97,120
2012,97,336
2013,97,8909
2014,97,6184
2015,97,17739
2016,97,2098
2017,97,4491
2018,97,3892
2019,97,2897
2020,97,2573
2008,98,
2009,98,
2010,98,0
2011,98,0
2012,98,104599
2013,98,105110
2014,98,144855
2015,98,212178
2016,98,130468
2017,98,159340
2018,98,73103
2019,98,157552
2020,98,339881
2008,99,18912
2009,99,8454
2010,99,8786
2011,99,17531
2012,99,17355
2013,99,27787
2014,99,30763
2015,99,25171
2016,99,32167
2017,99,23914
2018,99,
2019,99,
2020,99,
2008,100,109162
2009,100,123954
2010,100,193515
2011,100,214257
2012,100,243995
2013,100,125
2014,100,132
2015,100,134
2016,100,461430
2017,100,664724
2018,100,569327
2019,100,731491
2020,100,662947
2008,101,
2009,101,
2010,101,
2011,101,
2012,101,40
2013,101,36
2014,101,29
2015,101,3367
2016,101,2229
2017,101,2557
2018,101,3198
2019,101,2920
2020,101,8460
2008,102,67
2009,102,11
2010,102,24
2011,102,58
2012,102,41
2013,102,59
2014,102,86
2015,102,64
2016,102,31998
2017,102,34873
2018,102,35612
2019,102,35613
2020,102,59147
2008,103,111
2009,103,
2010,103,685
2011,103,223
2012,103,175
2013,103,4042
2014,103,9613
2015,103,8620
2016,103,9241
2017,103,5887
2018,103,8362
2019,103,
2020,103,
2008,104,47
2009,104,26
2010,104,58
2011,104,110
2012,104,66
2013,104,102
2014,104,10985
2015,104,12705
2016,104,10214
2017,104,15288
2018,104,23552
2019,104,52346
2020,104,57550
2008,105,
2009,105,
2010,105,
2011,105,
2012,105,3
2013,105,5
2014,105,3318
2015,105,1815
2016,105,1928
2017,105,2625
2018,105,5430
2019,105,3449
2020,105,6602
2008,106,11
2009,106,16
2010,106,31
2011,106,144
2012,106,16229
2013,106,15122
2014,106,13238
2015,106,42518
2016,106,32545
2017,106,40812
2018,106,62602
2019,106,47695
2020,106,99287
2008,107,928
2009,107,942
2010,107,199
2011,107,7683
2012,107,8569
2013,107,12315
2014,107,5398
2015,107,10319
2016,107,7914
2017,107,9028
2018,107,16800
2019,107,23465
2020,107,13793
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,52686
2014,108,52290
2015,108,30551
2016,108,59446
2017,108,38558
2018,108,157602
2019,108,100191
2020,108,127105
2008,109,
2009,109,7471
2010,109,1527
2011,109,3001
2012,109,7208
2013,109,5750
2014,109,23353
2015,109,48297
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,
2009,110,
2010,110,
2011,110,
2012,110,
2013,110,1670
2014,110,138
2015,110,89
2016,110,161
2017,110,68
2018,110,57
2019,110,2
2020,110,63
2008,111,20
2009,111,21
2010,111,9
2011,111,7
2012,111,8
2013,111,311
2014,111,1004
2015,111,2038
2016,111,2837
2017,111,374
2018,111,1147
2019,111,5258
2020,111,6692
2008,112,73267
2009,112,94933
2010,112,92270
2011,112,75790
2012,112,68925
2013,112,80055
2014,112,133264
2015,112,156078
2016,112,201081
2017,112,206681
2018,112,140867
2019,112,110699
2020,112,
2008,113,22173
2009,113,31148
2010,113,25812
2011,113,22604
2012,113,16156
2013,113,35151
2014,113,53310
2015,113,51553
2016,113,46295
2017,113,78902
2018,113,70256
2019,113,86061
2020,113,163425
2008,114,
2009,114,
2010,114,
2011,114,
2012,114,
2013,114,8493
2014,114,10718
2015,114,16041
2016,114,8925
2017,114,11520
2018,114,6561
2019,114,4102
2020,114,
2008,115,5040
2009,115,3216
2010,115,3817
2011,115,6716
2012,115,3513
2013,115,11039
2014,115,4066
2015,115,9080
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,11229
2009,116,9154
2010,116,9769
2011,116,14208
2012,116,2983
2013,116,5111
2014,116,2958
2015,116,3991
2016,116,12143
2017,116,11533
2018,116,13426
2019,116,18687
2020,116,13318
2008,117,
2009,117,
2010,117,
2011,117,
2012,117,17144
2013,117,13778
2014,117,18665
2015,117,21204
2016,117,18501
2017,117,21487
2018,117,42793
2019,117,17935
2020,117,70426
2008,118,51674
2009,118,54711
2010,118,44940
2011,118,271
2012,118,738
2013,118,72712
2014,118,62822
2015,118,70758
2016,118,47753
2017,118,48868
2018,118,35617
2019,118,76120
2020,118,347263
2008,119,205
2009,119,314
2010,119,73730
2011,119,45181
2012,119,115069
2013,119,296
2014,119,158
2015,119,109
2016,119,197891
2017,119,132
2018,119,118140
2019,119,233784
2020,119,343170
2008,120,
2009,120,
2010,120,
2011,120,387170
2012,120,691827
2013,120,384506
2014,120,552285
2015,120,259507
2016,120,219512
2017,120,274411
2018,120,676487
2019,120,381790
2020,120,1274642
2008,121,
2009,121,
2010,121,
2011,121,5639000
2012,121,4611000
2013,121,4705000
2014,121,5078607
2015,121,5812431
2016,121,5549592
2017,121,5170800
2018,121,5060216
2019,121,5149516
2020,121,7886151
2008,122,1004014
2009,122,1185622
2010,122,1337120
2011,122,1379889
2012,122,1455781
2013,122,1647161
2014,122,1303785
2015,122,1359257
2016,122,1389527
2017,122,1078513
2018,122,927185
2019,122,1099630
2020,122,990441
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,1553
2015,123,3826
2016,123,1993
2017,123,2163
2018,123,7155
2019,123,6522
2020,123,10717
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,2
2016,124,1562
2017,124,3
2018,124,29
2019,124,1202
2020,124,1405
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,55220
2016,125,46455
2017,125,50762
2018,125,85905
2019,125,81851
2020,125,152679
2008,126,124
2009,126,114
2010,126,136
2011,126,114
2012,126,63127
2013,126,38491
2014,126,48940
2015,126,10947
2016,126,10444
2017,126,28886
2018,126,52556
2019,126,44904
2020,126,15415
2008,127,393
2009,127,427
2010,127,594
2011,127,5196
2012,127,1123
2013,127,2102
2014,127,1586
2015,127,2016
2016,127,3237
2017,127,16014
2018,127,21365
2019,127,37343
2020,127,4341
2008,128,6555
2009,128,6408
2010,128,6526
2011,128,7937
2012,128,935822
2013,128,748579
2014,128,1080227
2015,128,953990
2016,128,757514
2017,128,441275
2018,128,946121
2019,128,
2020,128,
2008,129,30583
2009,129,29099
2010,129,17347
2011,129,17896
2012,129,58968
2013,129,15552
2014,129,81763
2015,129,69624
2016,129,23827
2017,129,13275
2018,129,
2019,129,
2020,129,
2008,130,43
2009,130,89
2010,130,91
2011,130,250
2012,130,80
2013,130,193086
2014,130,270067
2015,130,304306
2016,130,305586
2017,130,327326
2018,130,364667
2019,130,
2020,130,
2008,131,3891
2009,131,4521
2010,131,13544
2011,131,9664
2012,131,10748
2013,131,12559
2014,131,25091
2015,131,32296
2016,131,27448
2017,131,13360
2018,131,14270
2019,131,19863
2020,131,76344
2008,132,129833
2009,132,1222270
2010,132,2533250
2011,132,619900
2012,132,2811230
2013,132,4414215
2014,132,1904996
2015,132,2957246
2016,132,3383029
2017,132,5624716
2018,132,5031817
2019,132,5232000
2020,132,8385000
2008,133,12797
2009,133,16020
2010,133,27605
2011,133,18544
2012,133,143
2013,133,140
2014,133,87
2015,133,24912
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,6574
2009,134,6422
2010,134,6543
2011,134,7953
2012,134,960135
2013,134,997147
2014,134,1280884
2015,134,1176540
2016,134,877185
2017,134,554936
2018,134,1087633
2019,134,1197537
2020,134,879003
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,16432
2013,135,2742
2014,135,22
2015,135,50657
2016,135,20085
2017,135,16209
2018,135,15762
2019,135,29253
2020,135,43658
2008,136,8835
2009,136,3796
2010,136,2410
2011,136,2133
2012,136,2871
2013,136,1403
2014,136,3376
2015,136,4339
2016,136,2785
2017,136,12136
2018,136,4282
2019,136,2277
2020,136,8527
2008,137,
2009,137,
2010,137,
2011,137,
2012,137,3
2013,137,1
2014,137,3
2015,137,2
2016,137,5
2017,137,6
2018,137,3
2019,137,7
2020,137,8
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,5
2009,139,5
2010,139,5
2011,139,3
2012,139,1483
2013,139,1017
2014,139,422
2015,139,2868
2016,139,1809
2017,139,2405
2018,139,12438
2019,139,7995
2020,139,9900
2008,140,28212
2009,140,8660
2010,140,12464
2011,140,9728
2012,140,18944
2013,140,8843
2014,140,2891
2015,140,804
2016,140,9799
2017,140,11610
2018,140,8199
2019,140,
2020,140,
2008,141,229
2009,141,178
2010,141,139
2011,141,80
2012,141,87
2013,141,60
2014,141,60
2015,141,38
2016,141,50
2017,141,267
2018,141,47
2019,141,39
2020,141,41
2008,142,54954
2009,142,43867
2010,142,18
2011,142,19
2012,142,20
2013,142,172915
2014,142,149061
2015,142,125776
2016,142,124800
2017,142,128100
2018,142,56200
2019,142,50100
2020,142,87400
2008,143,17241
2009,143,14686
2010,143,13428
2011,143,14170
2012,143,9765
2013,143,14154
2014,143,32062
2015,143,5991
2016,143,4852
2017,143,10959
2018,143,19161
2019,143,15298
2020,143,
2008,144,150129
2009,144,95277
2010,144,76713
2011,144,31431
2012,144,12234
2013,144,8575
2014,144,34476
2015,144,39139
2016,144,29771
2017,144,33035
2018,144,22630
2019,144,15731
2020,144,40889
2008,145,1796
2009,145,
2010,145,
2011,145,
2012,145,
2013,145,1117
2014,145,282
2015,145,1161
