Date,Id,free float
2014,116,20
2015,116,34
2016,116,34
2017,116,24
2018,116,39
2019,116,37
2020,116,49
2008,117,
2009,117,
2010,117,44
2011,117,44
2012,117,44
2013,117,52
2014,117,52
2015,117,57
2016,117,57
2017,117,57
2018,117,54
2019,117,55
2020,117,53
2008,118,45
2009,118,32
2010,118,38
2011,118,38
2012,118,38
2013,118,38
2014,118,38
2015,118,36
2016,118,36
2017,118,29
2018,118,32
2019,118,37
2020,118,29
2008,119,73
2009,119,74
2010,119,74
2011,119,69
2012,119,76
2013,119,69
2014,119,69
2015,119,68
2016,119,64
2017,119,71
2018,119,73
2019,119,71
2020,119,70
2008,120,
2009,120,
2010,120,
2011,120,
2012,120,
2013,120,
2014,120,27
2015,120,27
2016,120,27
2017,120,28
2018,120,17
2019,120,29
2020,120,29
2008,121,
2009,121,
2010,121,
2011,121,100
2012,121,100
2013,121,70
2014,121,70
2015,121,73
2016,121,73
2017,121,73
2018,121,73
2019,121,73
2020,121,73
2008,122,35
2009,122,35
2010,122,35
2011,122,35
2012,122,33
2013,122,33
2014,122,33
2015,122,33
2016,122,33
2017,122,33
2018,122,33
2019,122,33
2020,122,33
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,100
2015,123,93
2016,123,100
2017,123,100
2018,123,2
2019,123,7
2020,123,7
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,100
2016,124,100
2017,124,100
2018,124,32
2019,124,32
2020,124,32
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,100
2016,125,100
2017,125,32
2018,125,32
2019,125,32
2020,125,32
2008,126,45
2009,126,44
2010,126,59
2011,126,59
2012,126,46
2013,126,54
2014,126,54
2015,126,54
2016,126,54
2017,126,53
2018,126,53
2019,126,53
2020,126,53
2008,127,36
2009,127,36
2010,127,36
2011,127,36
2012,127,36
2013,127,36
2014,127,36
2015,127,36
2016,127,41
2017,127,36
2018,127,36
2019,127,35
2020,127,35
2008,128,
2009,128,22
2010,128,22
2011,128,22
2012,128,22
2013,128,22
2014,128,30
2015,128,30
2016,128,30
2017,128,30
2018,128,29
2019,128,24
2020,128,24
2008,129,31
2009,129,31
2010,129,30
2011,129,29
2012,129,44
2013,129,43
2014,129,52
2015,129,35
2016,129,19
2017,129,79
2018,129,79
2019,129,79
2020,129,79
2008,130,60
2009,130,60
2010,130,60
2011,130,60
2012,130,60
2013,130,60
2014,130,60
2015,130,60
2016,130,43
2017,130,44
2018,130,11
2019,130,11
2020,130,11
2008,131,36
2009,131,35
2010,131,30
2011,131,34
2012,131,34
2013,131,34
2014,131,8
2015,131,31
2016,131,36
2017,131,27
2018,131,27
2019,131,27
2020,131,27
2008,132,49
2009,132,11
2010,132,51
2011,132,49
2012,132,54
2013,132,63
2014,132,49
2015,132,57
2016,132,57
2017,132,57
2018,132,57
2019,132,61
2020,132,61
2008,133,25
2009,133,25
2010,133,21
2011,133,21
2012,133,21
2013,133,21
2014,133,21
2015,133,21
2016,133,28
2017,133,28
2018,133,28
2019,133,28
2020,133,28
2008,134,39
2009,134,39
2010,134,39
2011,134,39
2012,134,39
2013,134,39
2014,134,36
2015,134,46
2016,134,47
2017,134,41
2018,134,41
2019,134,51
2020,134,51
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,
2013,135,
2014,135,
2015,135,45
2016,135,45
2017,135,23
2018,135,23
2019,135,23
2020,135,22
2008,136,31
2009,136,31
2010,136,31
2011,136,31
2012,136,31
2013,136,31
2014,136,31
2015,136,31
2016,136,31
2017,136,31
2018,136,33
2019,136,33
2020,136,33
2008,137,35
2009,137,35
2010,137,35
2011,137,35
2012,137,35
2013,137,35
2014,137,35
2015,137,35
2016,137,38
2017,137,39
2018,137,46
2019,137,46
2020,137,46
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,43
2009,139,43
2010,139,43
2011,139,43
2012,139,43
2013,139,43
2014,139,41
2015,139,41
2016,139,44
2017,139,61
2018,139,63
2019,139,62
2020,139,64
2008,140,32
2009,140,22
2010,140,22
2011,140,22
2012,140,22
2013,140,22
2014,140,22
2015,140,22
2016,140,21
2017,140,32
2018,140,32
2019,140,32
2020,140,32
2008,141,34
2009,141,39
2010,141,39
2011,141,39
2012,141,39
2013,141,39
2014,141,39
2015,141,39
2016,141,39
2017,141,39
2018,141,39
2019,141,39
2020,141,39
2008,142,27
2009,142,27
2010,142,27
2011,142,27
2012,142,27
2013,142,27
2014,142,27
2015,142,27
2016,142,50
2017,142,50
2018,142,50
2019,142,40
2020,142,33
2008,143,27
2009,143,26
2010,143,26
2011,143,20
2012,143,20
2013,143,20
2014,143,20
2015,143,20
2016,143,20
2017,143,19
2018,143,19
2019,143,19
2020,143,42
2008,144,100
2009,144,100
2010,144,100
2011,144,100
2012,144,33
2013,144,33
2014,144,33
2015,144,33
2016,144,33
2017,144,39
2018,144,39
2019,144,39
2020,144,39
2008,145,
2009,145,
2010,145,
2011,145,
2012,145,
2013,145,
2014,145,
2015,145,
2016,145,
2017,145,100
2018,145,100
2019,145,100
2020,145,100
2008,146,91
2009,146,91
2010,146,90
2011,146,90
2012,146,90
2013,146,90
2014,146,90
2015,146,90
2016,146,90
2017,146,87
2018,146,14
2019,146,21
2020,146,25
2008,147,50
2009,147,50
2010,147,50
2011,147,42
2012,147,47
2013,147,47
2014,147,47
2015,147,47
2016,147,47
2017,147,47
2018,147,47
2019,147,47
2020,147,47
2008,148,32
2009,148,26
2010,148,23
2011,148,23
2012,148,23
2013,148,23
2014,148,23
2015,148,23
2016,148,23
2017,148,23
2018,148,23
2019,148,23
2020,148,23
2008,149,35
2009,149,35
2010,149,35
2011,149,40
2012,149,40
2013,149,40
2014,149,40
2015,149,40
2016,149,40
2017,149,45
2018,149,40
2019,149,40
2020,149,0
2008,150,59
2009,150,61
2010,150,61
2011,150,60
2012,150,60
2013,150,59
2014,150,59
2015,150,59
2016,150,33
2017,150,32
2018,150,27
2019,150,30
2020,150,27
2008,151,
2009,151,
2010,151,
2011,151,
2012,151,
2013,151,
2014,151,100
2015,151,48
2016,151,100
2017,151,33
2018,151,34
2019,151,44
2020,151,44
2008,152,
2009,152,
2010,152,
2011,152,
2012,152,
2013,152,100
2014,152,100
2015,152,100
2016,152,35
2017,152,56
2018,152,56
2019,152,56
2020,152,56
2008,153,41
2009,153,34
2010,153,34
2011,153,34
2012,153,30
2013,153,44
2014,153,66
2015,153,66
2016,153,23
2017,153,23
2018,153,23
2019,153,23
2020,153,23
2008,154,
2009,154,
2010,154,
2011,154,
2012,154,
2013,154,
2014,154,100
2015,154,100
2016,154,100
2017,154,100
2018,154,18
2019,154,18
2020,154,18
2008,155,
2009,155,
2010,155,
2011,155,
2012,155,
2013,155,
2014,155,100
2015,155,100
2016,155,100
2017,155,14
2018,155,14
2019,155,14
2020,155,15
2008,156,
2009,156,
2010,156,
2011,156,
2012,156,
2013,156,
2014,156,35
2015,156,35
2016,156,35
2017,156,35
2018,156,35
2019,156,35
2020,156,35
2008,157,
2009,157,
2010,157,
2011,157,
2012,157,
2013,157,
2014,157,36
2015,157,38
2016,157,38
2017,157,38
2018,157,40
2019,157,40
2020,157,40
2008,158,
2009,158,
