Date,Id,sg&a
2014,123,4067
2015,123,4463
2016,123,4593
2017,123,12136
2018,123,33827
2019,123,31285
2020,123,25663
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,7858
2016,124,11469
2017,124,13912
2018,124,16246
2019,124,15659
2020,124,9687
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,49218
2016,125,53612
2017,125,59557
2018,125,66671
2019,125,86350
2020,125,98449
2008,126,247968
2009,126,193292
2010,126,312646
2011,126,295765
2012,126,346901
2013,126,313044
2014,126,305773
2015,126,4531
2016,126,3896
2017,126,4758
2018,126,3921
2019,126,5541
2020,126,3641
2008,127,19815
2009,127,18773
2010,127,82683
2011,127,55058
2012,127,24744
2013,127,26207
2014,127,25383
2015,127,26235
2016,127,25875
2017,127,26103
2018,127,25957
2019,127,26770
2020,127,22989
2008,128,208787
2009,128,420251
2010,128,485387
2011,128,524893
2012,128,550300
2013,128,604844
2014,128,564182
2015,128,565901
2016,128,533456
2017,128,570584
2018,128,558226
2019,128,
2020,128,
2008,129,177150
2009,129,187664
2010,129,100683
2011,129,103165
2012,129,100719
2013,129,41527
2014,129,43015
2015,129,44502
2016,129,52681
2017,129,57436
2018,129,
2019,129,
2020,129,
2008,130,387156
2009,130,475013
2010,130,470975
2011,130,473700
2012,130,472047
2013,130,820049
2014,130,821103
2015,130,870968
2016,130,819265
2017,130,861909
2018,130,914373
2019,130,
2020,130,
2008,131,43552
2009,131,43089
2010,131,55423
2011,131,57288
2012,131,30660
2013,131,53895
2014,131,58760
2015,131,98696
2016,131,89208
2017,131,97203
2018,131,86290
2019,131,84265
2020,131,57568
2008,132,760649
2009,132,772537
2010,132,1790930
2011,132,1973299
2012,132,1930776
2013,132,2407369
2014,132,2492495
2015,132,2944142
2016,132,2986397
2017,132,2795870
2018,132,3114347
2019,132,5030000
2020,132,4712000
2008,133,18702
2009,133,15183
2010,133,16090
2011,133,17566
2012,133,65210
2013,133,49653
2014,133,57932
2015,133,51603
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,221557
2009,134,402598
2010,134,474302
2011,134,510793
2012,134,563879
2013,134,610981
2014,134,570099
2015,134,582013
2016,134,624714
2017,134,835295
2018,134,964894
2019,134,1298677
2020,134,1571540
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,29804
2013,135,29944
2014,135,29210
2015,135,32074
2016,135,34184
2017,135,35972
2018,135,36541
2019,135,39504
2020,135,24570
2008,136,19036
2009,136,24959
2010,136,18694
2011,136,19265
2012,136,23685
2013,136,27778
2014,136,29095
2015,136,32162
2016,136,35883
2017,136,38280
2018,136,30099
2019,136,29403
2020,136,35582
2008,137,4476
2009,137,4164
2010,137,7798
2011,137,5797
2012,137,11294
2013,137,12190
2014,137,12594
2015,137,6762
2016,137,6796
2017,137,7517
2018,137,10237
2019,137,9234
2020,137,6951
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,25417
2009,139,5444
2010,139,4156
2011,139,3994
2012,139,3064
2013,139,6095
2014,139,4039
2015,139,3130
2016,139,4281
2017,139,6442
2018,139,29627
2019,139,5786
2020,139,6173
2008,140,54540
2009,140,53375
2010,140,53106
2011,140,45518
2012,140,52237
2013,140,50433
2014,140,3620
2015,140,2081
2016,140,2034
2017,140,2476
2018,140,1336
2019,140,
2020,140,
2008,141,109971
2009,141,104416
2010,141,97280
2011,141,93212
