Date,Id,auditor fees
2008,146,206
2009,146,248
2010,146,243
2011,146,254
2012,146,
2013,146,158
2014,146,213
2015,146,177
2016,146,
2017,146,
2018,146,
2019,146,
2020,146,
2008,147,460
2009,147,423
2010,147,914
2011,147,1198
2012,147,1286
2013,147,1160
2014,147,1278
2015,147,1168
2016,147,1456
2017,147,1451
2018,147,1392
2019,147,939
2020,147,955
2008,148,243662
2009,148,233921
2010,148,194500
2011,148,
2012,148,
2013,148,
2014,148,
2015,148,
2016,148,
2017,148,
2018,148,
2019,148,
2020,148,
2008,149,782
2009,149,873
2010,149,893
2011,149,865
2012,149,
2013,149,268
2014,149,956
2015,149,969
2016,149,714
2017,149,1070
2018,149,803
2019,149,777
2020,149,
2008,150,
2009,150,
2010,150,
2011,150,30000
2012,150,1969
2013,150,459
2014,150,
2015,150,
2016,150,
2017,150,3298
2018,150,2562
2019,150,2307
2020,150,2877
2008,151,
2009,151,
2010,151,
2011,151,
2012,151,
2013,151,
2014,151,
2015,151,
2016,151,
2017,151,
2018,151,230
2019,151,272
2020,151,214
2008,152,
2009,152,
2010,152,
2011,152,
2012,152,
2013,152,
2014,152,
2015,152,
2016,152,
2017,152,
2018,152,
2019,152,
2020,152,
2008,153,3300
2009,153,2800
2010,153,2600
2011,153,2500
2012,153,2100
2013,153,1322
2014,153,792
2015,153,1000
2016,153,1500
2017,153,1700
2018,153,900
2019,153,1000
2020,153,800
2008,154,
2009,154,
2010,154,
2011,154,
2012,154,
2013,154,
2014,154,
2015,154,
2016,154,
2017,154,
2018,154,
2019,154,45
2020,154,45
2008,155,
2009,155,
2010,155,
2011,155,
2012,155,
2013,155,
2014,155,76
2015,155,76
2016,155,76
2017,155,80
2018,155,80
2019,155,80
2020,155,84
2008,156,
2009,156,
2010,156,
2011,156,
2012,156,
2013,156,
2014,156,
2015,156,
2016,156,
2017,156,166
2018,156,230
2019,156,120
2020,156,121
2008,157,
2009,157,
2010,157,
2011,157,
2012,157,
2013,157,
2014,157,
2015,157,
2016,157,
2017,157,
2018,157,
2019,157,
2020,157,
2008,158,
2009,158,
2010,158,
2011,158,
2012,158,
2013,158,
2014,158,
2015,158,
2016,158,
2017,158,
2018,158,
2019,158,
2020,158,
2008,159,
2009,159,
2010,159,
2011,159,
2012,159,
2013,159,
2014,159,
2015,159,
2016,159,
2017,159,
2018,159,
2019,159,
2020,159,
2008,160,
2009,160,
2010,160,
