Date,Id,funds from operations
2012,90,27401
2013,90,32402
2014,90,40883
2015,90,46217
2016,90,102083
2017,90,64266
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,559
2013,91,1545
2014,91,1332
2015,91,-1003
2016,91,4021
2017,91,4181
2018,91,5805
2019,91,1727
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,916
2015,92,941
2016,92,-1103
2017,92,-1205
2018,92,821
2019,92,-1574
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,53647
2009,95,79054
2010,95,76591
2011,95,94537
2012,95,110226
2013,95,80260
2014,95,125919
2015,95,127035
2016,95,153472
2017,95,178005
2018,95,189108
2019,95,326055
2020,95,340072
2008,96,-27418
2009,96,8129
2010,96,17019
2011,96,11210
2012,96,-733
2013,96,-9478
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,4965
2009,97,4463
2010,97,-3088
2011,97,-7957
2012,97,2687
2013,97,5279
2014,97,4811
2015,97,848
2016,97,2575
2017,97,2851
2018,97,3092
2019,97,9820
2020,97,6419
2008,98,61229
2009,98,83989
2010,98,114919
2011,98,134090
2012,98,63030
2013,98,73134
2014,98,76754
2015,98,87515
2016,98,121645
2017,98,139307
2018,98,187227
2019,98,203803
2020,98,289620
2008,99,8549
2009,99,11983
2010,99,11270
2011,99,16065
2012,99,14694
2013,99,6428
2014,99,12890
2015,99,13229
2016,99,12450
2017,99,-6619
2018,99,
2019,99,
2020,99,
2008,100,69056
2009,100,84649
2010,100,143338
2011,100,161828
2012,100,-497
2013,100,159241
2014,100,178938
2015,100,187771
2016,100,250654
2017,100,232339
2018,100,260955
2019,100,225914
2020,100,307869
2008,101,1940
2009,101,3135
2010,101,1925
2011,101,739
2012,101,-1596
2013,101,1809
2014,101,-735
2015,101,1965
2016,101,2072
2017,101,1217
2018,101,164
2019,101,3054
2020,101,6528
2008,102,7059
2009,102,17196
2010,102,24457
2011,102,10007
2012,102,15614
2013,102,13605
2014,102,15911
2015,102,26521
2016,102,16503
2017,102,24829
2018,102,15610
2019,102,25500
2020,102,25162
2008,103,-11093
2009,103,6268
2010,103,-1423
2011,103,7279
2012,103,9166
2013,103,7198
2014,103,8295
2015,103,12736
2016,103,9859
2017,103,13710
2018,103,-15595
2019,103,
2020,103,
2008,104,7485
2009,104,9161
2010,104,9006
2011,104,11967
2012,104,9056
2013,104,5433
2014,104,7445
2015,104,7816
2016,104,7037
2017,104,6212
2018,104,9286
2019,104,-3403
2020,104,11806
2008,105,1761
2009,105,-627
2010,105,-100
2011,105,19
2012,105,896
2013,105,1185
2014,105,933
2015,105,-92
2016,105,777
2017,105,2004
2018,105,1172
2019,105,1287
2020,105,2390
2008,106,20390
2009,106,16185
2010,106,16739
2011,106,14716
2012,106,20232
2013,106,22927
2014,106,21143
2015,106,21029
2016,106,31924
2017,106,31171
2018,106,35829
2019,106,36476
2020,106,44439
2008,107,-24839
2009,107,-27474
2010,107,10126
2011,107,-11398
2012,107,-7063
2013,107,-19525
2014,107,-10731
2015,107,-12734
2016,107,6505
2017,107,5097
2018,107,6018
2019,107,7981
2020,107,6908
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,-53
2014,108,-756
2015,108,120078
2016,108,-75444
2017,108,67803
2018,108,-58385
2019,108,70541
2020,108,93436
2008,109,
2009,109,10099
2010,109,18620
2011,109,21169
2012,109,18978
2013,109,13397
2014,109,22484
2015,109,38200
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,-3674
2009,110,-5700
2010,110,-7374
2011,110,-688
2012,110,1834
2013,110,2568
2014,110,-3522
2015,110,-876
2016,110,-1665
2017,110,-181
2018,110,-68
2019,110,-292
2020,110,38
2008,111,17302
2009,111,-4665
2010,111,-5813
2011,111,-1045
2012,111,-192
2013,111,720
2014,111,111
2015,111,-269
2016,111,-693
2017,111,-3230
2018,111,-438
2019,111,-22991
2020,111,-26512
2008,112,41673
2009,112,51317
2010,112,21720
2011,112,47403
2012,112,33451
2013,112,29208
2014,112,30890
2015,112,47196
2016,112,63278
2017,112,73191
2018,112,84779
2019,112,124201
2020,112,
2008,113,25501
2009,113,-13109
2010,113,2460
2011,113,15379
2012,113,15400
2013,113,18767
2014,113,33290
2015,113,52330
2016,113,56559
2017,113,60803
2018,113,69117
2019,113,63554
2020,113,42025
2008,114,-1216
2009,114,-411
2010,114,1287
2011,114,608
2012,114,945
2013,114,-1374
2014,114,3441
2015,114,3328
2016,114,3349
2017,114,-2419
2018,114,61
2019,114,-2747
2020,114,
2008,115,8909
2009,115,-3937
2010,115,2416
2011,115,5562
2012,115,6665
2013,115,3943
2014,115,5992
2015,115,10473
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,20695
2009,116,20900
2010,116,33479
2011,116,18636
2012,116,17466
2013,116,21617
2014,116,23029
2015,116,19324
2016,116,17717
2017,116,27618
2018,116,6021
2019,116,12459
2020,116,26064
2008,117,10418
2009,117,12633
2010,117,10727
2011,117,14239
2012,117,17551
2013,117,12297
2014,117,14038
2015,117,22111
2016,117,7432
2017,117,12456
2018,117,14524
2019,117,24025
2020,117,13715
2008,118,47835
2009,118,-32373
2010,118,22524
2011,118,32578
2012,118,18231
2013,118,49550
2014,118,26934
2015,118,41389
2016,118,40997
2017,118,53093
2018,118,46599
2019,118,40830
2020,118,23831
2008,119,42672
2009,119,25244
2010,119,54620
2011,119,63681
2012,119,68197
2013,119,65513
2014,119,95854
2015,119,121287
2016,119,139356
2017,119,172365
2018,119,209746
2019,119,233029
2020,119,228613
2008,120,
2009,120,
2010,120,
2011,120,62248
2012,120,58672
2013,120,74162
2014,120,105386
2015,120,-158003
2016,120,177083
2017,120,256530
2018,120,267443
2019,120,24348
2020,120,-67933
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,2001000
2013,121,1841000
2014,121,1863056
2015,121,1741694
2016,121,1183262
