Date,Id,accounting standards
2014,71,IFRS
2015,71,IFRS
2016,71,IFRS
2017,71,IFRS
2018,71,IFRS
2019,71,IFRS
2020,71,IFRS
2008,72,IFRS
2009,72,IFRS
2010,72,IFRS
2011,72,IFRS
2012,72,IFRS
2013,72,IFRS
2014,72,IFRS
2015,72,IFRS
2016,72,IFRS
2017,72,IFRS
2018,72,IFRS
2019,72,IFRS
2020,72,IFRS
2008,73,IFRS
2009,73,IFRS
2010,73,IFRS
2011,73,IFRS
2012,73,IFRS
2013,73,IFRS
2014,73,IFRS
2015,73,IFRS
2016,73,IFRS
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,IFRS
2015,75,IFRS
2016,75,IFRS
2017,75,IFRS
2018,75,IFRS
2019,75,IFRS
2020,75,IFRS
2008,76,IFRS
2009,76,IFRS
2010,76,IFRS
2011,76,IFRS
2012,76,IFRS
2013,76,IFRS
2014,76,IFRS
2015,76,IFRS
2016,76,IFRS
2017,76,IFRS
2018,76,IFRS
2019,76,IFRS
2020,76,IFRS
2008,77,IFRS
2009,77,IFRS
2010,77,IFRS
2011,77,IFRS
2012,77,IFRS
2013,77,IFRS
2014,77,IFRS
2015,77,IFRS
2016,77,IFRS
2017,77,IFRS
2018,77,IFRS
2019,77,IFRS
2020,77,IFRS
2008,78,IFRS
2009,78,IFRS
2010,78,IFRS
2011,78,IFRS
2012,78,IFRS
2013,78,IFRS
2014,78,IFRS
2015,78,IFRS
2016,78,IFRS
2017,78,IFRS
2018,78,IFRS
2019,78,IFRS
2020,78,IFRS
2008,79,IFRS
2009,79,IFRS
2010,79,IFRS
2011,79,IFRS
2012,79,IFRS
2013,79,IFRS
2014,79,IFRS
2015,79,IFRS
2016,79,IFRS
2017,79,IFRS
2018,79,IFRS
2019,79,IFRS
2020,79,IFRS
2008,80,IFRS
2009,80,IFRS
2010,80,IFRS
2011,80,IFRS
2012,80,IFRS
2013,80,IFRS
2014,80,IFRS
2015,80,IFRS
2016,80,IFRS
2017,80,IFRS
2018,80,IFRS
2019,80,IFRS
2020,80,IFRS
2008,81,IFRS
2009,81,IFRS
2010,81,IFRS
2011,81,IFRS
2012,81,IFRS
2013,81,IFRS
2014,81,IFRS
2015,81,IFRS
2016,81,IFRS
2017,81,IFRS
2018,81,IFRS
2019,81,IFRS
2020,81,IFRS
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,Local standards
2013,82,Local standards
2014,82,Local standards
2015,82,Local standards
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,IFRS
2009,83,IFRS
2010,83,IFRS
2011,83,IFRS
2012,83,IFRS
2013,83,IFRS
2014,83,IFRS
2015,83,IFRS
2016,83,IFRS
2017,83,IFRS
2018,83,IFRS
2019,83,IFRS
2020,83,IFRS
2008,84,IFRS
2009,84,IFRS
2010,84,IFRS
2011,84,IFRS
2012,84,IFRS
2013,84,IFRS
2014,84,IFRS
2015,84,IFRS
2016,84,IFRS
2017,84,IFRS
2018,84,IFRS
2019,84,IFRS
2020,84,IFRS
2008,85,IFRS
2009,85,IFRS
2010,85,IFRS
2011,85,IFRS
2012,85,IFRS
2013,85,IFRS
2014,85,IFRS
