Date,Id,Market_Cap_Fis_Period_End
2017,134,2239358
2018,134,1597434
2019,134,3519627
2020,134,2673323
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,
2013,135,
2014,135,
2015,135,220210
2016,135,357644
2017,135,579456
2018,135,414723
2019,135,437843
2020,135,306346
2008,136,56676
2009,136,29898
2010,136,18096
2011,136,15189
2012,136,15909
2013,136,16031
2014,136,39126
2015,136,123883
2016,136,92621
2017,136,171121
2018,136,131913
2019,136,93979
2020,136,305895
2008,137,26809
2009,137,26317
2010,137,38776
2011,137,30497
2012,137,33465
2013,137,69150
2014,137,65337
2015,137,83032
2016,137,87176
2017,137,119896
2018,137,116564
2019,137,154251
2020,137,112660
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
