Date,Id,Oancf
2014,116,16977
2015,116,19131
2016,116,23317
2017,116,22779
2018,116,1737
2019,116,30140
2020,116,22004
2008,117,-5430
2009,117,7122
2010,117,12699
2011,117,5100
2012,117,16097
2013,117,5029
2014,117,12853
2015,117,14968
2016,117,-6225
2017,117,26865
2018,117,25523
2019,117,-1062
2020,117,20578
2008,118,26156
2009,118,7349
2010,118,-12629
2011,118,51101
2012,118,78827
2013,118,-714
2014,118,43560
2015,118,-9414
2016,118,21784
2017,118,27718
2018,118,17938
2019,118,65707
2020,118,-7009
2008,119,38921
2009,119,69594
2010,119,64749
2011,119,41903
2012,119,55281
2013,119,63846
2014,119,72099
2015,119,114733
2016,119,127174
2017,119,141557
2018,119,148832
2019,119,212487
2020,119,280923
2008,120,
2009,120,
2010,120,
2011,120,149882
2012,120,374813
2013,120,-246242
2014,120,-319509
2015,120,-568308
2016,120,574958
2017,120,546869
2018,120,41682
2019,120,44507
2020,120,-543393
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,1698000
2013,121,1835000
2014,121,888360
2015,121,2021852
2016,121,1238529
2017,121,2141978
2018,121,1636313
2019,121,1332134
2020,121,3031599
2008,122,495104
2009,122,381736
2010,122,215912
2011,122,124899
2012,122,190170
2013,122,216767
2014,122,155404
2015,122,253010
2016,122,52555
2017,122,87403
2018,122,19075
2019,122,154443
2020,122,191795
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,-1589
2015,123,466
2016,123,-2933
2017,123,1856
2018,123,9310
2019,123,-186
2020,123,964
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,-227
2016,124,4702
2017,124,2635
2018,124,1610
2019,124,2901
2020,124,-1309
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,21026
2016,125,25229
2017,125,18348
2018,125,21847
2019,125,54357
2020,125,47435
2008,126,94837
2009,126,119165
2010,126,137128
2011,126,160910
2012,126,2684
2013,126,20800
2014,126,7718
2015,126,-73772
2016,126,-643
2017,126,30920
2018,126,25797
2019,126,-6942
2020,126,-10291
2008,127,35494
2009,127,20290
2010,127,36039
2011,127,-1766
2012,127,1511
2013,127,6335
2014,127,10896
2015,127,10104
2016,127,9496
2017,127,13578
2018,127,12979
2019,127,23797
2020,127,2197
2008,128,300448
2009,128,373364
2010,128,336815
2011,128,407898
2012,128,329254
2013,128,369796
2014,128,426128
2015,128,390146
2016,128,422678
2017,128,477198
2018,128,556484
2019,128,
2020,128,
2008,129,40544
2009,129,56183
2010,129,52252
2011,129,57882
2012,129,39642
2013,129,59879
2014,129,81869
2015,129,63561
2016,129,75999
2017,129,145735
2018,129,
2019,129,
2020,129,
2008,130,56914
2009,130,124089
2010,130,72966
2011,130,17407
2012,130,44026
2013,130,16450
2014,130,84819
2015,130,102403
2016,130,53722
2017,130,50136
2018,130,56934
2019,130,
2020,130,
2008,131,5996
2009,131,8697
2010,131,14362
2011,131,8318
2012,131,7178
2013,131,9759
2014,131,11358
2015,131,26724
2016,131,18278
2017,131,11266
2018,131,34234
2019,131,29578
2020,131,-31794
2008,132,1292900
2009,132,1375778
2010,132,1650925
2011,132,1918131
2012,132,1117359
2013,132,1501986
2014,132,1823308
2015,132,2210820
2016,132,2361810
2017,132,2390026
2018,132,2944405
2019,132,4662000
2020,132,2435000
2008,133,11099
2009,133,27737
2010,133,33342
2011,133,23667
2012,133,15117
2013,133,13386
2014,133,-7644
2015,133,-10234
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,270046
2009,134,392238
2010,134,343600
2011,134,414800
2012,134,345589
2013,134,375479
2014,134,436219
2015,134,393452
2016,134,428933
2017,134,474792
2018,134,599789
2019,134,632006
2020,134,476947
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,10802
2013,135,12212
2014,135,16027
2015,135,8418
2016,135,29344
2017,135,25275
2018,135,30342
2019,135,34991
2020,135,-13968
2008,136,-11976
2009,136,-5822
2010,136,4367
2011,136,1960
2012,136,15066
2013,136,9521
2014,136,12151
2015,136,23136
2016,136,18336
2017,136,28525
2018,136,-532
2019,136,-6384
2020,136,38729
2008,137,3647
2009,137,3173
2010,137,2255
2011,137,3081
2012,137,3549
2013,137,4514
2014,137,3950
2015,137,4423
2016,137,8296
2017,137,4273
2018,137,7810
2019,137,11534
2020,137,7182
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,-4386
2009,139,6402
2010,139,875
2011,139,2782
2012,139,3110
2013,139,5564
2014,139,3765
2015,139,7040
2016,139,12302
2017,139,8462
2018,139,17702
2019,139,5138
2020,139,12087
2008,140,8448
2009,140,15426
