Date,Id,retained earnings
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,138820
2009,95,167817
2010,95,191967
2011,95,227606
2012,95,282410
2013,95,232472
2014,95,292317
2015,95,360745
2016,95,414550
2017,95,491249
2018,95,502085
2019,95,581124
2020,95,687836
2008,96,-69840
2009,96,-92351
2010,96,-97590
2011,96,-142566
2012,96,-113970
2013,96,-223068
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,-1612
2009,97,-3430
2010,97,-18167
2011,97,-47195
2012,97,13621
2013,97,2859
2014,97,2739
2015,97,5475
2016,97,2045
2017,97,-106
2018,97,912
2019,97,1490
2020,97,-433
2008,98,95806
2009,98,157931
2010,98,236937
2011,98,266201
2012,98,340639
2013,98,390829
2014,98,440989
2015,98,509626
2016,98,586099
2017,98,688760
2018,98,704942
2019,98,834758
2020,98,1017108
2008,99,8303
2009,99,46891
2010,99,51331
2011,99,50483
2012,99,12438
2013,99,828
2014,99,2064
2015,99,4109
2016,99,5279
2017,99,-17889
2018,99,
2019,99,
2020,99,
2008,100,187795
2009,100,193216
2010,100,254383
2011,100,320043
2012,100,389786
2013,100,476599
2014,100,539651
2015,100,628026
2016,100,728409
2017,100,785571
2018,100,821250
2019,100,924016
2020,100,1041963
2008,101,276
2009,101,492
2010,101,-260
2011,101,-436
2012,101,-1085
2013,101,1953
2014,101,424
2015,101,1707
2016,101,2100
2017,101,2114
2018,101,1233
2019,101,1891
2020,101,5405
2008,102,3579
2009,102,64317
2010,102,65939
2011,102,36313
2012,102,116057
2013,102,112774
2014,102,113609
2015,102,117943
2016,102,111430
2017,102,108338
2018,102,111697
2019,102,113581
2020,102,111957
2008,103,-19213
2009,103,-4321
2010,103,-20161
2011,103,-23002
2012,103,-10922
2013,103,-4151
2014,103,273
2015,103,5269
2016,103,6375
2017,103,936
2018,103,-44786
2019,103,
2020,103,
2008,104,9826
2009,104,14259
2010,104,13969
2011,104,23499
2012,104,26278
2013,104,27110
2014,104,29692
2015,104,32655
2016,104,34610
2017,104,35829
2018,104,38601
2019,104,70079
2020,104,58433
2008,105,737
2009,105,-1402
2010,105,-837
2011,105,-696
2012,105,2202
2013,105,2290
2014,105,2286
2015,105,1235
2016,105,836
2017,105,1572
2018,105,1165
2019,105,756
2020,105,1079
2008,106,42569
2009,106,47872
2010,106,55356
2011,106,23132
2012,106,56929
2013,106,63679
2014,106,70138
2015,106,75924
2016,106,89295
2017,106,99131
2018,106,119783
2019,106,124576
2020,106,141566
2008,107,-37924
2009,107,-47146
2010,107,-20517
2011,107,-15960
2012,107,-9351
2013,107,-11641
2014,107,-29011
2015,107,-47151
2016,107,-42800
2017,107,-39306
2018,107,-34873
2019,107,-33282
2020,107,29355
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,-670
2014,108,-1131
2015,108,41089
2016,108,122865
2017,108,139175
2018,108,137675
2019,108,146744
2020,108,146423
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,18197
2013,109,69424
2014,109,-3806
2015,109,16501
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,-5613
2009,110,-13119
2010,110,-16366
2011,110,-7552
2012,110,-11592
2013,110,-18646
2014,110,-19785
2015,110,-14861
2016,110,-16528
2017,110,-17029
2018,110,-17200
2019,110,-17616
2020,110,-17874
2008,111,22124
2009,111,14370
2010,111,-6111
2011,111,-10298
2012,111,-13302
2013,111,-13113
2014,111,-21343
2015,111,-906
2016,111,-3037
2017,111,-3098
2018,111,-3340
2019,111,17055
2020,111,26736
2008,112,72276
2009,112,94970
2010,112,71067
2011,112,60942
2012,112,86500
2013,112,83163
2014,112,75077
2015,112,97234
2016,112,102916
2017,112,226781
2018,112,260042
2019,112,353240
2020,112,
2008,113,34890
2009,113,-26696
2010,113,7219
2011,113,12371
2012,113,55660
2013,113,59052
2014,113,65711
2015,113,78825
2016,113,98116
2017,113,42100
2018,113,43418
2019,113,190424
2020,113,198922
2008,114,-1850
2009,114,
2010,114,766
2011,114,4545
2012,114,4742
2013,114,4740
2014,114,7443
2015,114,8856
2016,114,9091
2017,114,4966
2018,114,3642
2019,114,-504
2020,114,
2008,115,19646
2009,115,10630
2010,115,10059
2011,115,12026
2012,115,31315
2013,115,12829
2014,115,12546
2015,115,16481
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,15410
2009,116,11583
2010,116,16867
2011,116,10775
2012,116,104093
2013,116,101280
2014,116,93472
2015,116,97857
2016,116,99877
2017,116,109313
2018,116,119695
2019,116,114246
2020,116,127848
2008,117,6091
2009,117,8904
2010,117,10286
2011,117,10333
2012,117,32237
2013,117,22472
2014,117,25668
2015,117,29201
2016,117,22772
2017,117,21117
2018,117,20098
2019,117,22416
2020,117,15595
2008,118,53623
2009,118,-21752
2010,118,-7228
2011,118,5036
2012,118,-15299
2013,118,43525
2014,118,9499
2015,118,-1932
2016,118,17421
2017,118,-15885
2018,118,25821
2019,118,14617
2020,118,1462
2008,119,39228
2009,119,
2010,119,
2011,119,
2012,119,
2013,119,265755
2014,119,301797
2015,119,399526
2016,119,472454
2017,119,584607
2018,119,734731
2019,119,889411
2020,119,1032635
2008,120,
2009,120,
2010,120,
2011,120,296090
2012,120,303877
2013,120,370302
2014,120,418358
2015,120,245540
2016,120,203319
2017,120,310559
2018,120,382116
2019,120,188955
2020,120,-42286
2008,121,
2009,121,
2010,121,
2011,121,1822000
2012,121,2417000
2013,121,6107000
2014,121,4581580
2015,121,5052606
2016,121,4656576
2017,121,4345974
2018,121,5469184
2019,121,6186020
2020,121,5086809
2008,122,435765
2009,122,548047
2010,122,713398
2011,122,812602
2012,122,958539
2013,122,1055207
2014,122,1515099
2015,122,1653135
2016,122,1731805
2017,122,1775475
2018,122,1824692
2019,122,1871688
2020,122,1923984
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,185
2015,123,444
2016,123,505
2017,123,352
2018,123,-1548
2019,123,670
2020,123,22324
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,497
2016,124,1209
2017,124,1433
2018,124,1373
2019,124,1430
2020,124,11441
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,35559
2016,125,46306
2017,125,51796
2018,125,56368
2019,125,68119
2020,125,59753
2008,126,35759
2009,126,-1399
2010,126,-32427
2011,126,-49956
2012,126,-111585
2013,126,-63508
2014,126,107751
2015,126,111756
2016,126,108729
2017,126,151432
2018,126,171347
2019,126,169386
2020,126,174123
2008,127,3589
2009,127,11529
