Date,Id,capex
2020,97,5406
2008,98,14523
2009,98,20149
2010,98,23420
2011,98,26717
2012,98,28473
2013,98,28080
2014,98,28099
2015,98,27173
2016,98,30025
2017,98,33271
2018,98,33245
2019,98,37429
2020,98,42480
2008,99,3808
2009,99,5409
2010,99,6053
2011,99,4695
2012,99,4852
2013,99,5021
2014,99,6867
2015,99,5875
2016,99,4171
2017,99,7248
2018,99,
2019,99,
2020,99,
2008,100,33518
2009,100,28079
2010,100,33186
2011,100,47289
2012,100,53360
2013,100,51750
2014,100,52738
2015,100,43702
2016,100,41953
2017,100,85065
2018,100,50312
2019,100,50552
2020,100,76956
2008,101,1877
2009,101,1307
2010,101,993
2011,101,1158
2012,101,3588
2013,101,1558
2014,101,1205
2015,101,1224
2016,101,1257
2017,101,1645
2018,101,481
2019,101,463
2020,101,257
2008,102,5419
2009,102,11748
2010,102,11026
2011,102,14213
2012,102,9341
2013,102,8888
2014,102,8770
2015,102,11561
2016,102,21067
2017,102,18465
2018,102,19459
2019,102,15990
2020,102,9641
2008,103,14685
2009,103,4879
2010,103,4287
2011,103,5509
2012,103,8493
2013,103,4194
2014,103,5379
2015,103,4858
2016,103,10849
2017,103,8872
2018,103,5446
2019,103,
2020,103,
2008,104,641
2009,104,2353
2010,104,969
2011,104,2600
2012,104,1991
2013,104,2457
2014,104,2094
2015,104,213
2016,104,2185
2017,104,1116
2018,104,1197
2019,104,4285
2020,104,2968
2008,105,938
2009,105,897
2010,105,724
2011,105,761
2012,105,264
2013,105,119
2014,105,212
2015,105,513
2016,105,1625
2017,105,1431
2018,105,2013
2019,105,6313
2020,105,631
2008,106,15264
2009,106,8328
2010,106,6060
2011,106,4766
2012,106,8575
2013,106,8129
2014,106,13705
2015,106,8903
2016,106,13816
2017,106,16164
2018,106,18157
2019,106,17732
2020,106,14143
2008,107,10491
2009,107,6819
2010,107,3154
2011,107,2761
2012,107,3911
2013,107,6300
2014,107,2517
2015,107,351
2016,107,116
2017,107,786
2018,107,1030
2019,107,754
2020,107,943
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,23
2015,108,7497
2016,108,11615
2017,108,21848
2018,108,15207
2019,108,14968
2020,108,20565
2008,109,
2009,109,116
2010,109,458
2011,109,800
2012,109,1341
2013,109,3782
2014,109,3581
2015,109,3445
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,816
2009,110,503
2010,110,263
2011,110,
2012,110,36138
2013,110,47018
2014,110,
2015,110,
2016,110,
2017,110,
2018,110,
2019,110,
2020,110,
2008,111,27208
2009,111,1264
2010,111,
2011,111,209
2012,111,28
2013,111,18
2014,111,4
2015,111,19
2016,111,454
2017,111,
2018,111,7
2019,111,2594
2020,111,454
2008,112,7802
2009,112,4852
2010,112,8632
2011,112,8621
2012,112,9021
2013,112,13780
2014,112,13350
2015,112,19550
2016,112,20293
2017,112,21134
2018,112,36511
2019,112,25366
2020,112,
2008,113,12341
2009,113,3598
2010,113,3905
2011,113,5098
2012,113,2814
2013,113,2726
2014,113,5765
2015,113,13062
2016,113,18410
2017,113,21681
2018,113,24392
2019,113,14544
2020,113,4743
2008,114,1210
2009,114,659
2010,114,570
2011,114,663
2012,114,395
2013,114,598
2014,114,3061
2015,114,2721
2016,114,4552
2017,114,1814
2018,114,946
2019,114,332
2020,114,
2008,115,5430
2009,115,2323
2010,115,1782
2011,115,3753
2012,115,6035
2013,115,4417
2014,115,8081
2015,115,3304
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,12649
2009,116,11247
2010,116,12733
2011,116,13704
2012,116,13219
2013,116,9491
2014,116,9843
2015,116,11581
2016,116,11465
2017,116,13604
2018,116,11348
2019,116,11510
2020,116,16623
2008,117,4094
2009,117,10946
2010,117,3548
2011,117,2563
2012,117,6084
2013,117,11464
2014,117,12297
2015,117,11529
2016,117,13695
2017,117,14793
2018,117,14052
2019,117,12159
2020,117,11509
2008,118,52821
2009,118,17935
2010,118,16871
2011,118,23614
2012,118,33486
2013,118,29411
2014,118,26726
2015,118,19169
2016,118,11367
2017,118,13536
2018,118,29190
2019,118,23702
2020,118,15754
2008,119,15952
2009,119,9974
2010,119,6808
2011,119,10644
2012,119,16860
2013,119,27321
2014,119,32575
2015,119,27502
2016,119,31954
2017,119,44533
2018,119,63683
2019,119,72517
2020,119,58571
2008,120,
2009,120,
2010,120,
2011,120,74379
2012,120,86400
2013,120,217916
2014,120,122194
2015,120,121866
2016,120,143784
2017,120,107919
2018,120,124069
2019,120,218039
2020,120,232744
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,1349000
2013,121,1495000
2014,121,1285963
2015,121,1011833
2016,121,791861
2017,121,786563
2018,121,876717
2019,121,951013
2020,121,739159
2008,122,169902
2009,122,114540
2010,122,79513
2011,122,79154
2012,122,108967
2013,122,149230
2014,122,133074
2015,122,192060
2016,122,95113
2017,122,65132
2018,122,61317
2019,122,73769
2020,122,167458
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,223
2015,123,798
2016,123,355
2017,123,699
2018,123,4327
2019,123,2096
2020,123,3244
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,368
2016,124,593
2017,124,2531
2018,124,1742
2019,124,1938
2020,124,2620
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,10512
2016,125,16728
2017,125,19318
2018,125,23569
2019,125,23480
2020,125,18027
2008,126,59289
2009,126,37779
2010,126,44261
2011,126,60537
2012,126,37645
2013,126,30074
2014,126,25629
2015,126,204
2016,126,68
2017,126,245
2018,126,658
2019,126,661
2020,126,680
2008,127,48155
2009,127,53547
2010,127,373
2011,127,311
2012,127,35250
2013,127,32692
2014,127,11580
2015,127,7361
2016,127,180
2017,127,1756
2018,127,891
2019,127,1516
2020,127,1749
2008,128,298812
2009,128,4093
2010,128,6517
2011,128,9053
2012,128,276598
2013,128,288727
2014,128,231409
2015,128,215050
2016,128,179800
2017,128,193483
2018,128,456039
2019,128,
2020,128,
2008,129,23758
2009,129,24693
2010,129,10515
2011,129,14383
2012,129,17093
2013,129,19814
2014,129,5677
2015,129,11096
2016,129,10906
2017,129,12633
2018,129,
2019,129,
2020,129,
2008,130,14389
2009,130,10632
2010,130,6979
2011,130,10543
2012,130,10462
2013,130,10101
2014,130,9156
2015,130,14764
2016,130,15812
2017,130,19927
2018,130,15287
2019,130,
2020,130,
2008,131,14765
2009,131,8448
2010,131,2192
2011,131,2349
2012,131,3364
2013,131,2447
2014,131,1470
2015,131,3124
2016,131,2794
2017,131,4532
2018,131,3676
2019,131,6951
2020,131,2777
2008,132,1139090
2009,132,1313319
2010,132,56904
2011,132,63617
2012,132,56529
2013,132,59150
2014,132,57008
2015,132,95525
2016,132,113104
2017,132,84415
2018,132,93354
2019,132,207000
2020,132,177000
2008,133,47963
2009,133,124308
2010,133,69368
2011,133,64518
2012,133,19938
2013,133,10148
2014,133,35999
2015,133,2574
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,303013
2009,134,4829
2010,134,7409
2011,134,9920
2012,134,5792
2013,134,7215
2014,134,8620
2015,134,7092
2016,134,8313
2017,134,10133
2018,134,17375
2019,134,31630
2020,134,19460
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,1948
2013,135,1821
2014,135,2144
2015,135,1739
2016,135,4034
2017,135,4686
2018,135,2690
2019,135,2480
2020,135,1025
2008,136,719
2009,136,425
2010,136,962
2011,136,498
2012,136,186
2013,136,90
2014,136,145
2015,136,1658
2016,136,2862
2017,136,364
2018,136,33
2019,136,
2020,136,7119
2008,137,1873
2009,137,602
2010,137,840
2011,137,619
2012,137,791
2013,137,907
2014,137,577
2015,137,475
2016,137,326
2017,137,469
2018,137,841
2019,137,1017
2020,137,317
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,365
2009,139,0
2010,139,456
2011,139,26
2012,139,49
2013,139,63
2014,139,27
2015,139,186
2016,139,76
2017,139,213
2018,139,122
2019,139,90
2020,139,232
2008,140,12456
2009,140,8161
2010,140,7120
2011,140,7928
2012,140,9117
2013,140,3813
2014,140,217
2015,140,6
2016,140,4951
2017,140,162
2018,140,265
2019,140,
2020,140,
2008,141,834
2009,141,733
2010,141,1118
2011,141,1421
2012,141,1276
2013,141,634
2014,141,193
2015,141,544
2016,141,2566
2017,141,3916
2018,141,538
2019,141,660
2020,141,448
2008,142,2846
2009,142,166
2010,142,422
2011,142,641
2012,142,924
2013,142,5394
2014,142,47734
2015,142,11274
2016,142,15200
2017,142,27000
2018,142,27900
2019,142,28600
2020,142,25100
2008,143,28337
2009,143,4492
2010,143,3064
2011,143,4771
2012,143,9317
2013,143,3955
2014,143,1831
2015,143,593
2016,143,587
2017,143,
2018,143,2360
2019,143,1420
2020,143,
2008,144,13422
2009,144,6635
2010,144,6642
2011,144,4138
