Date,Id,che
2014,182,12533
2015,182,5357
2016,182,7605
2017,182,22359
2018,182,
2019,182,
2020,182,
2008,183,81734
2009,183,78727
2010,183,134095
2011,183,75850
2012,183,123771
2013,183,87270
2014,183,99317
2015,183,145830
2016,183,120088
2017,183,225273
2018,183,210053
2019,183,223899
2020,183,335324
2008,184,24404
2009,184,15226
2010,184,10651
2011,184,11170
2012,184,9319
2013,184,10478
2014,184,
2015,184,
2016,184,
2017,184,
2018,184,
2019,184,
2020,184,
2008,185,
2009,185,3388
2010,185,7623
2011,185,8683
2012,185,41655
2013,185,40334
2014,185,54174
2015,185,49122
2016,185,49340
2017,185,67837
2018,185,66037
2019,185,78929
2020,185,77953
2008,186,4144
2009,186,10597
2010,186,18513
2011,186,19603
2012,186,26738
2013,186,24833
2014,186,27468
2015,186,28462
2016,186,32581
2017,186,25632
2018,186,23058
2019,186,19455
2020,186,18390
2008,187,
2009,187,
2010,187,
2011,187,
2012,187,783
2013,187,4321
2014,187,6141
2015,187,3170
2016,187,3194
2017,187,647
2018,187,634
2019,187,1357
2020,187,1267
2008,188,
2009,188,
2010,188,57929
2011,188,58345
2012,188,94679
2013,188,105300
2014,188,123419
2015,188,148603
2016,188,246408
2017,188,398028
2018,188,546541
2019,188,762193
2020,188,928291
2008,189,
2009,189,
2010,189,
2011,189,
2012,189,
2013,189,88774
2014,189,43595
2015,189,76722
2016,189,141944
2017,189,108610
2018,189,60498
2019,189,39673
2020,189,57419
2008,190,
2009,190,
2010,190,
2011,190,
2012,190,
2013,190,
2014,190,
2015,190,
2016,190,11655
2017,190,9403
2018,190,11600
2019,190,12522
2020,190,19617
2008,191,10803
2009,191,4729
2010,191,2508
2011,191,792
2012,191,762
2013,191,3357
2014,191,4461
2015,191,1218
2016,191,1108
2017,191,1850
2018,191,9828
2019,191,5488
2020,191,3886
2008,192,41267
2009,192,22689
2010,192,8087
2011,192,5367
2012,192,29243
2013,192,18426
2014,192,25702
2015,192,40931
2016,192,46468
2017,192,60081
2018,192,43853
2019,192,39163
2020,192,31250
2008,193,35538
2009,193,19987
2010,193,60373
2011,193,38903
2012,193,17650
2013,193,8563
2014,193,11390
2015,193,29938
2016,193,19702
2017,193,18111
2018,193,16466
2019,193,9904
2020,193,
2008,194,94951
2009,194,93775
2010,194,162844
2011,194,106955
2012,194,39789
2013,194,52271
2014,194,141122
2015,194,238196
2016,194,150990
2017,194,305902
2018,194,204450
2019,194,197872
2020,194,195266
2008,195,
2009,195,
2010,195,
2011,195,101
2012,195,45
2013,195,89
2014,195,49
2015,195,1689
2016,195,763
2017,195,1035
2018,195,3550
2019,195,
2020,195,
2008,196,39357
2009,196,33163
2010,196,50206
2011,196,40785
2012,196,55307
2013,196,67155
2014,196,91064
2015,196,107426
2016,196,95475
2017,196,111237
2018,196,129057
2019,196,242609
2020,196,335927
2008,197,93536
2009,197,77843
2010,197,74869
2011,197,81942
2012,197,106198
2013,197,157725
2014,197,200402
2015,197,229681
2016,197,312154
2017,197,
2018,197,
2019,197,
2020,197,
2008,198,4149
2009,198,4899
2010,198,3502
2011,198,3980
2012,198,9383
2013,198,9060
2014,198,8924
2015,198,19824
2016,198,33301
2017,198,23358
2018,198,36521
2019,198,34289
2020,198,60745
2008,199,13999
2009,199,6379
2010,199,6100
2011,199,7106
2012,199,5977
2013,199,3808
2014,199,4711
2015,199,5707
2016,199,4394
2017,199,14150
2018,199,22860
2019,199,21981
2020,199,2330
2008,200,27632
2009,200,47674
2010,200,11866
2011,200,6732
2012,200,4524
2013,200,3209
2014,200,4963
2015,200,4838
2016,200,1409
2017,200,1465
2018,200,18977
2019,200,11653
2020,200,
2008,201,15859
2009,201,8161
2010,201,6554
2011,201,7476
2012,201,4006
2013,201,1660
2014,201,1391
2015,201,2206
2016,201,4818
2017,201,
2018,201,
2019,201,
2020,201,
2008,202,3359
2009,202,4202
2010,202,6631
2011,202,14369
2012,202,15819
2013,202,14821
2014,202,12304
2015,202,9080
2016,202,7570
2017,202,86527
2018,202,109542
2019,202,98746
2020,202,80093
2008,203,2029
2009,203,5238
2010,203,6005
2011,203,3738
2012,203,3992
2013,203,4248
2014,203,5833
2015,203,3098
2016,203,7595
2017,203,3549
2018,203,5315
2019,203,7247
2020,203,10639
2008,204,15412
2009,204,10602
2010,204,8474
2011,204,7062
2012,204,2609
2013,204,1387
2014,204,1082
2015,204,1289
2016,204,1791
2017,204,290
2018,204,426
2019,204,350
2020,204,676
2008,205,6234
2009,205,5989
2010,205,7277
2011,205,7474
2012,205,5343
2013,205,7250
2014,205,12458
2015,205,7546
2016,205,12958
2017,205,36963
2018,205,19885
2019,205,
2020,205,
2008,206,9099
2009,206,9094
2010,206,7693
2011,206,11551
2012,206,5776
2013,206,7351
2014,206,7675
2015,206,14223
2016,206,
2017,206,
2018,206,
2019,206,
2020,206,
2008,207,8930
2009,207,3756
2010,207,6836
2011,207,7554
2012,207,5534
2013,207,7221
2014,207,9428
2015,207,9021
2016,207,9294
2017,207,15257
2018,207,
2019,207,
2020,207,
2008,208,818
2009,208,2469
2010,208,318
2011,208,265
2012,208,159
2013,208,2386
2014,208,2389
2015,208,3960
2016,208,3111
2017,208,2497
2018,208,2787
2019,208,1862
2020,208,1012
2008,209,
2009,209,
2010,209,6
2011,209,50972
2012,209,51474
2013,209,92395
2014,209,73228
2015,209,92122
2016,209,146168
2017,209,191951
2018,209,247194
2019,209,249074
2020,209,368466
2008,210,
2009,210,
2010,210,
2011,210,
2012,210,
2013,210,
2014,210,1572
2015,210,860
2016,210,459
2017,210,1318
2018,210,810
2019,210,431
2020,210,43
2008,211,
2009,211,840
2010,211,179
2011,211,65
2012,211,493
2013,211,250
2014,211,1918
2015,211,506
2016,211,732
2017,211,3108
2018,211,4587
2019,211,1767
2020,211,3993
2008,212,
2009,212,
2010,212,594
2011,212,701
2012,212,2065
2013,212,2967
2014,212,13224
2015,212,16756
2016,212,14524
2017,212,15852
2018,212,12841
2019,212,21676
2020,212,53995
2008,213,
2009,213,
2010,213,1202
2011,213,190
2012,213,319
2013,213,721
