Date,Id,current assets
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,6451
2009,110,1864
2010,110,2979
2011,110,4520
2012,110,17034
2013,110,2169
2014,110,495
2015,110,485
2016,110,462
2017,110,911
2018,110,462
2019,110,306
2020,110,976
2008,111,103187
2009,111,96958
2010,111,37323
2011,111,31191
2012,111,14607
2013,111,
2014,111,
2015,111,
2016,111,
2017,111,
2018,111,
2019,111,
2020,111,
2008,112,371643
2009,112,355931
2010,112,401476
2011,112,454503
2012,112,437241
2013,112,468523
2014,112,528537
2015,112,694364
2016,112,857181
2017,112,933221
2018,112,940172
2019,112,976018
2020,112,
2008,113,235700
2009,113,178137
2010,113,207785
2011,113,229948
2012,113,220608
2013,113,212297
2014,113,248648
2015,113,284788
2016,113,323603
2017,113,366438
2018,113,408089
2019,113,384074
2020,113,439028
2008,114,47479
2009,114,33669
2010,114,36114
2011,114,44339
2012,114,43556
2013,114,35857
2014,114,42277
2015,114,46537
2016,114,44694
2017,114,44967
2018,114,44830
2019,114,31392
2020,114,
2008,115,54389
2009,115,39681
2010,115,44860
2011,115,53519
2012,115,51673
2013,115,59754
2014,115,57280
2015,115,63004
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,86414
2009,116,74253
2010,116,81686
2011,116,86972
2012,116,72590
2013,116,73270
2014,116,77738
2015,116,79430
2016,116,85051
2017,116,90914
2018,116,109048
2019,116,108142
2020,116,123059
2008,117,81104
2009,117,79656
2010,117,84850
2011,117,104509
2012,117,112855
2013,117,116463
2014,117,130379
2015,117,151535
2016,117,152026
2017,117,154006
2018,117,193526
2019,117,194450
2020,117,240474
2008,118,470988
2009,118,311008
2010,118,412459
2011,118,504020
2012,118,394269
2013,118,355592
2014,118,328484
2015,118,286499
2016,118,219045
2017,118,284685
2018,118,274161
2019,118,295623
2020,118,564040
2008,119,271434
2009,119,277074
2010,119,349304
2011,119,337303
2012,119,358939
2013,119,376685
2014,119,422588
2015,119,574068
2016,119,674280
2017,119,697112
2018,119,790511
2019,119,960483
2020,119,1015406
2008,120,
2009,120,
2010,120,
2011,120,2219281
2012,120,1970651
2013,120,3011985
2014,120,3756306
2015,120,4239354
2016,120,3644815
2017,120,4337795
2018,120,5220521
2019,120,5004788
2020,120,6361377
2008,121,
2009,121,
2010,121,
2011,121,27936000
2012,121,27671000
2013,121,28918000
2014,121,31235790
2015,121,30710745
2016,121,30909540
2017,121,29053224
2018,121,29592192
2019,121,30758836
2020,121,29656809
2008,122,3317100
2009,122,3558439
2010,122,3694487
2011,122,3953702
2012,122,4212392
2013,122,4338953
2014,122,4029063
2015,122,3991742
2016,122,4149392
2017,122,3654432
2018,122,3579069
2019,122,4020064
2020,122,3855931
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,12929
2015,123,13517
2016,123,15655
2017,123,15279
2018,123,30434
2019,123,37739
2020,123,44794
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,23915
2016,124,24988
2017,124,33128
2018,124,34603
2019,124,37575
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,184553
2016,125,204495
2017,125,219932
2018,125,248532
2019,125,280951
2020,125,353225
2008,126,797177
2009,126,846703
2010,126,1061125
2011,126,1087337
2012,126,934146
2013,126,850001
2014,126,86747
2015,126,100865
2016,126,63112
2017,126,89193
2018,126,81400
2019,126,76615
2020,126,50551
2008,127,19766
2009,127,20212
2010,127,18180
2011,127,65894
2012,127,378875
2013,127,414908
2014,127,426400
2015,127,430980
2016,127,429610
2017,127,445621
2018,127,460570
2019,127,477466
2020,127,471801
2008,128,568511
2009,128,533852
2010,128,960213
2011,128,926514
2012,128,1367937
2013,128,1253180
2014,128,1526365
2015,128,1368161
2016,128,1132065
2017,128,824732
2018,128,1483956
2019,128,
2020,128,
2008,129,116509
2009,129,101921
2010,129,90165
2011,129,91692
2012,129,137481
2013,129,105091
2014,129,127722
2015,129,112221
2016,129,65237
2017,129,66057
2018,129,
2019,129,
2020,129,
2008,130,878399
2009,130,1122859
2010,130,1355823
2011,130,1471074
2012,130,1600553
2013,130,1413344
2014,130,1538939
2015,130,1592238
2016,130,1659856
2017,130,1705376
2018,130,1764880
2019,130,
2020,130,
2008,131,20814
2009,131,20964
2010,131,27574
2011,131,26247
2012,131,27783
2013,131,31865
2014,131,42501
2015,131,55835
2016,131,48812
2017,131,51817
2018,131,44710
2019,131,49179
2020,131,108146
2008,132,1409455
2009,132,2649755
2010,132,5154361
2011,132,2287942
2012,132,5184986
2013,132,6788050
2014,132,5063544
2015,132,5578332
2016,132,6146318
2017,132,8480633
2018,132,11480543
2019,132,10690000
2020,132,13192000
2008,133,56666
2009,133,58712
2010,133,68331
2011,133,59645
2012,133,69762
2013,133,45969
2014,133,36858
2015,133,43513
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,607459
2009,134,592072
2010,134,1030993
2011,134,1012474
2012,134,1420903
2013,134,1517823
2014,134,1740730
2015,134,1607016
2016,134,1509782
2017,134,1253865
2018,134,2086359
2019,134,2313762
2020,134,2626954
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,37082
2013,135,28189
2014,135,32122
2015,135,81589
2016,135,59567
2017,135,54772
2018,135,48738
2019,135,51043
2020,135,54681
2008,136,109064
2009,136,100078
2010,136,98854
2011,136,92503
2012,136,80156
2013,136,66711
2014,136,67971
2015,136,64039
2016,136,85719
2017,136,70013
2018,136,63231
2019,136,85922
2020,136,80600
2008,137,9772
2009,137,8913
2010,137,11976
2011,137,14272
2012,137,16706
2013,137,16761
2014,137,25264
2015,137,22470
2016,137,26334
2017,137,35844
2018,137,38354
2019,137,40852
2020,137,42996
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,35759
