Date,Id,free fcash flow
2019,80,-0.141
2020,80,0.115
2008,81,0.04
2009,81,0.017
2010,81,0.075
2011,81,0.017
2012,81,0.086
2013,81,0.081
2014,81,0.055
2015,81,0.133
2016,81,-0.048
2017,81,0.015
2018,81,0.029
2019,81,0.084
2020,81,0.033
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,
2015,82,
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,-0.139
2009,83,-0.103
2010,83,-0.038
2011,83,0.09
2012,83,-0.092
2013,83,0.149
2014,83,-0.089
2015,83,-0.053
2016,83,0.026
2017,83,0
2018,83,-0.053
2019,83,0.188
2020,83,0.46
2008,84,-0.389
2009,84,-0.494
2010,84,-0.539
2011,84,0.022
2012,84,0.004
2013,84,0.403
2014,84,-0.048
2015,84,0.025
2016,84,0
2017,84,-0.166
2018,84,0.001
2019,84,0.044
2020,84,0.23
2008,85,-0.037
2009,85,-0.006
2010,85,0.045
2011,85,-0.014
2012,85,-0.008
2013,85,0.053
2014,85,0.033
2015,85,0.045
2016,85,0.013
2017,85,0.044
2018,85,0.09
2019,85,0.059
2020,85,0.123
2008,86,-0.389
2009,86,-0.494
2010,86,-0.539
2011,86,0.022
2012,86,0.004
2013,86,0.403
2014,86,-0.048
2015,86,0.025
2016,86,0
2017,86,-0.166
2018,86,0.001
2019,86,0.044
2020,86,0.23
2008,87,0.661
2009,87,-0.508
2010,87,-1.281
2011,87,-1.871
2012,87,-4.626
2013,87,-2.466
2014,87,-3.164
2015,87,-2.901
2016,87,-0.279
2017,87,-0.008
2018,87,-0.008
2019,87,-0.012
2020,87,
2008,88,-0.026
2009,88,-0.012
2010,88,-0.04
2011,88,-0.02
2012,88,-0.015
2013,88,-0.011
2014,88,-0.009
2015,88,-0.006
2016,88,-0.002
2017,88,-0.002
2018,88,0.001
2019,88,
2020,88,
2008,89,0.173
2009,89,-0.075
2010,89,-0.144
2011,89,-0.135
2012,89,-0.116
2013,89,-0.09
2014,89,-0.075
2015,89,0.02
2016,89,0.18
2017,89,-0.041
2018,89,-0.014
2019,89,
2020,89,
2008,90,
2009,90,0.199
2010,90,0.163
2011,90,0.356
2012,90,0.407
2013,90,0.249
2014,90,0.445
2015,90,0.321
2016,90,0.442
2017,90,0.04
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,0.367
2014,91,-3.04
2015,91,-3.056
2016,91,6.394
2017,91,6.042
2018,91,7.439
2019,91,0.409
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,
2015,92,-0.276
2016,92,-0.535
2017,92,-0.404
2018,92,0.273
2019,92,-0.538
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,0.146
2009,95,0.288
2010,95,0.212
2011,95,0.278
2012,95,0.349
2013,95,0.21
2014,95,0.407
2015,95,0.382
2016,95,0.453
2017,95,0.51
2018,95,0.532
2019,95,1.102
2020,95,1.385
2008,96,-0.392
2009,96,-0.042
2010,96,0.049
2011,96,-0.006
2012,96,0.071
2013,96,-0.061
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,4.928
2009,97,-12.007
2010,97,-4.465
2011,97,-11.691
2012,97,0.028
2013,97,0.232
2014,97,0.043
2015,97,0.013
2016,97,-0.195
2017,97,0.078
2018,97,0.031
2019,97,0.315
2020,97,0.045
2008,98,0.749
2009,98,1.041
2010,98,1.611
2011,98,1.558
2012,98,
2013,98,-0.507
2014,98,0.344
2015,98,0.499
2016,98,1.019
2017,98,1.131
2018,98,0.157
2019,98,2.141
2020,98,3.563
2008,99,1.637
2009,99,0.195
2010,99,0.116
2011,99,0.287
2012,99,0.216
2013,99,0.034
2014,99,0.148
2015,99,0.18
2016,99,0.203
2017,99,-0.341
2018,99,
2019,99,
2020,99,
2008,100,0.178
2009,100,0.324
2010,100,0.657
2011,100,0.62
2012,100,-0.69
2013,100,0.429
2014,100,0.444
2015,100,0.554
2016,100,0.956
2017,100,0.185
2018,100,0.409
2019,100,0.803
2020,100,1.008
2008,101,-0.097
2009,101,0.142
2010,101,0.064
2011,101,-0.034
2012,101,-0.424
2013,101,0.02
2014,101,-0.164
2015,101,0.054
2016,101,0.053
2017,101,-0.048
2018,101,-0.021
2019,101,0.17
2020,101,0.414
2008,102,-0.02
2009,102,0.077
2010,102,0.236
2011,102,-0.097
2012,102,0.104
2013,102,0.066
2014,102,0.076
2015,102,0.2
2016,102,-0.103
2017,102,0.082
2018,102,-0.084
2019,102,0.152
2020,102,0.245
2008,103,-0.284
2009,103,0.015
2010,103,-0.063
2011,103,0.02
2012,103,0.007
2013,103,0.033
2014,103,0.032
2015,103,0.077
2016,103,-0.008
2017,103,0.039
2018,103,-0.168
2019,103,
2020,103,
2008,104,0.097
2009,104,0.074
2010,104,0.099
2011,104,0.107
2012,104,0.041
2013,104,0
2014,104,0.087
2015,104,0.132
2016,104,0.057
2017,104,0.062
2018,104,0.122
2019,104,-0.214
2020,104,0.097
2008,105,
2009,105,
2010,105,
2011,105,
2012,105,0.055
2013,105,0.141
2014,105,0.062
2015,105,-0.052
2016,105,-0.073
2017,105,0.05
2018,105,-0.073
2019,105,-0.434
2020,105,0.152
2008,106,-0.011
2009,106,0.045
2010,106,0.078
2011,106,0.034
2012,106,0.046
2013,106,0.07
2014,106,0.02
2015,106,0.049
2016,106,0.085
2017,106,0.056
2018,106,0.072
2019,106,0.069
2020,106,0.185
2008,107,-37.452
2009,107,-39.066
2010,107,7.942
2011,107,-7.73
2012,107,-6.109
2013,107,-14.182
2014,107,-2.549
2015,107,-2.517
2016,107,0.418
2017,107,0.171
2018,107,0.198
2019,107,0.287
2020,107,0.117
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,-0.057
2015,108,2.76
2016,108,-2.024
2017,108,1.064
2018,108,-1.447
2019,108,1.088
2020,108,1.439
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,
2013,109,0.046
2014,109,0.089
2015,109,0.131
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,-0.864
2009,110,-1.098
2010,110,-0.868
2011,110,
2012,110,-0.806
2013,110,-0.915
2014,110,
2015,110,
2016,110,
2017,110,
2018,110,
2019,110,
2020,110,
2008,111,-0.145
2009,111,-0.118
2010,111,
2011,111,-0.04
2012,111,-0.007
2013,111,0.022
2014,111,0.003
2015,111,-0.019
2016,111,-0.037
2017,111,
2018,111,-0.043
2019,111,-1.982
2020,111,-0.707
2008,112,0.152
2009,112,0.461
2010,112,-0.517
2011,112,0.156
2012,112,-0.336
2013,112,-1.9
2014,112,-0.774
2015,112,-0.617
2016,112,-0.248
2017,112,-0.274
2018,112,-0.47
2019,112,0.516
2020,112,
2008,113,0.039
2009,113,-0.623
2010,113,-0.054
2011,113,0.38
2012,113,0.468
2013,113,0.596
2014,113,1.021
2015,113,1.441
2016,113,1.033
2017,113,1.069
2018,113,1.153
2019,113,1.309
2020,113,1.361
2008,114,-0.498
2009,114,-0.209
2010,114,0.14
2011,114,-0.011
2012,114,0.108
2013,114,-0.386
2014,114,0.074
2015,114,-0.131
2016,114,-0.635
2017,114,-1.028
2018,114,-0.173
2019,114,-0.602
2020,114,
2008,115,0.014
2009,115,-0.271
2010,115,0.024
2011,115,0.07
2012,115,-0.016
2013,115,-0.071
2014,115,-0.119
2015,115,0.237
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,-0.002
2009,116,0.139
2010,116,1.304
2011,116,-0.371
2012,116,-0.232
2013,116,0.725
2014,116,-0.257
2015,116,0.272
2016,116,0.069
2017,116,0.77
2018,116,-1.031
2019,116,-0.45
2020,116,0.49
2008,117,0.021
2009,117,-0.002
2010,117,0.023
2011,117,0.043
2012,117,0.041
2013,117,-0.014
2014,117,0
2015,117,0.041
2016,117,-0.044
2017,117,-0.012
2018,117,0.002
2019,117,0.062
2020,117,0.004
2008,118,-0.252
2009,118,-1.054
2010,118,0.11
2011,118,0.175
2012,118,-0.321
2013,118,0.402
2014,118,0.004
2015,118,0.443
2016,118,0.591
2017,118,0.631
2018,118,0.047
2019,118,0.08
2020,118,0.105
2008,119,-0.059
2009,119,0.203
2010,119,0.511
2011,119,0.45
2012,119,0.421
2013,119,0.188
2014,119,0.43
2015,119,0.687
2016,119,0.812
2017,119,0.986
2018,119,1.152
2019,119,1.296
2020,119,1.323
2008,120,
2009,120,
2010,120,
2011,120,-0.01
2012,120,-0.022
2013,120,-0.119
2014,120,-0.011
2015,120,-0.165
2016,120,0.02
2017,120,0.088
2018,120,0.085
2019,120,-0.115
2020,120,-0.178
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,0.533
2013,121,0.055
2014,121,0.213
2015,121,0.338
2016,121,0.15
2017,121,0.665
2018,121,0.658
2019,121,0.489
2020,121,0.545
2008,122,0.599
2009,122,2.126
2010,122,2.025
2011,122,2.479
2012,122,1.961
2013,122,0.581
2014,122,1.708
2015,122,-0.603
2016,122,0.626
2017,122,0.893
2018,122,1.648
2019,122,1.235
2020,122,-0.354
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,-0.147
2015,123,-0.086
2016,123,0.083
2017,123,-0.037
2018,123,-0.087
2019,123,0.065
2020,123,0.027
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,0.094
2016,124,0.329
2017,124,0.032
2018,124,0.14
2019,124,0.295
2020,124,-1.351
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,0.131
2016,125,0.537
2017,125,-0.303
