Date,Id,historic volatility
2014,83,0.1641
2015,83,0.1577
2016,83,0.162
2017,83,0.1806
2018,83,0.179
2019,83,0.2106
2020,83,0.2288
2008,84,0.3503
2009,84,0.3582
2010,84,0.3731
2011,84,0.3763
2012,84,0.3848
2013,84,0.2961
2014,84,0.279
2015,84,0.2582
2016,84,0.3087
2017,84,0.3287
2018,84,0.3204
2019,84,0.3083
2020,84,0.3337
2008,85,0.3103
2009,85,0.3195
2010,85,0.3303
2011,85,0.3299
2012,85,0.3495
2013,85,0.3981
2014,85,0.3928
2015,85,0.3959
2016,85,0.3944
2017,85,0.4012
2018,85,0.3475
2019,85,0.3765
2020,85,0.4021
2008,86,0.3503
2009,86,0.3582
2010,86,0.3731
2011,86,0.3763
2012,86,0.3848
2013,86,0.2961
2014,86,0.279
2015,86,0.2582
2016,86,0.3087
2017,86,0.3287
2018,86,0.3204
2019,86,0.3083
2020,86,0.3337
2008,87,0.3896
2009,87,0.3716
2010,87,0.3515
2011,87,0.5091
2012,87,0.7553
2013,87,0.831
2014,87,0.8197
2015,87,0.8801
2016,87,0.8031
2017,87,0.6364
2018,87,0.5959
2019,87,0.5923
2020,87,0.5099
2008,88,0.4388
2009,88,0.5643
2010,88,0.5557
2011,88,0.5129
2012,88,0.5163
2013,88,0.5126
2014,88,0.3586
2015,88,0.3605
2016,88,0.4159
2017,88,0.4647
2018,88,0.7627
2019,88,0.811
2020,88,0.7956
2008,89,0.7171
2009,89,0.6144
2010,89,0.5228
2011,89,0.4928
2012,89,0.4579
2013,89,0.2762
2014,89,0.2703
2015,89,0.2725
2016,89,0.2507
2017,89,0.2464
2018,89,0.2379
2019,89,0.1954
2020,89,0.1604
2008,90,
2009,90,
2010,90,0.4241
2011,90,0.4054
2012,90,0.3871
2013,90,0.3671
2014,90,0.4071
2015,90,0.3865
2016,90,0.3875
2017,90,0.3861
2018,90,0.3706
2019,90,0.2939
2020,90,0.2492
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,0.2722
2014,91,0.2549
2015,91,0.4311
2016,91,0.4122
2017,91,0.7952
2018,91,0.7426
2019,91,0.7717
2020,91,0.7972
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,0.1714
2015,92,0.1596
2016,92,0.1553
2017,92,0.3742
2018,92,0.465
2019,92,0.563
2020,92,0.5703
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,0.1851
2015,93,0.3302
2016,93,0.3911
2017,93,0.3311
2018,93,0.2923
2019,93,0.2692
2020,93,0.2126
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,0.4843
2009,95,0.5572
2010,95,0.557
2011,95,0.5566
2012,95,0.5302
2013,95,0.3492
2014,95,0.2209
2015,95,0.2176
2016,95,0.201
2017,95,0.1754
2018,95,0.2237
2019,95,0.2353
2020,95,0.2931
2008,96,0.5312
2009,96,0.5679
2010,96,0.5742
2011,96,0.5403
2012,96,0.4917
2013,96,0.4467
2014,96,0.4107
2015,96,0.3948
2016,96,0.3345
2017,96,0.2069
2018,96,0.1324
2019,96,0.0357
2020,96,0
2008,97,0.4257
2009,97,0.4075
2010,97,0.436
2011,97,0.7755
2012,97,1.3082
2013,97,1.3067
2014,97,1.3238
2015,97,1.3107
2016,97,1.138
2017,97,0.2868
2018,97,0.2739
2019,97,0.1888
2020,97,0.2032
2008,98,0.2568
2009,98,0.2451
2010,98,0.2407
2011,98,0.2631
2012,98,0.2688
2013,98,0.2538
2014,98,0.2408
2015,98,0.2393
2016,98,0.2042
2017,98,0.174
2018,98,0.2096
2019,98,0.2264
2020,98,0.2774
2008,99,
2009,99,
2010,99,0.2241
2011,99,0.3106
2012,99,0.2771
2013,99,0.2781
2014,99,0.2931
2015,99,0.2861
2016,99,0.2281
2017,99,0.2412
2018,99,0.2159
2019,99,0.1662
2020,99,0.1309
2008,100,0.3473
2009,100,0.3865
2010,100,0.3973
2011,100,0.414
2012,100,0.4451
2013,100,0.3633
2014,100,0.3215
2015,100,0.3174
2016,100,0.3051
2017,100,0.2578
2018,100,0.2735
2019,100,0.2932
2020,100,0.3121
2008,101,0.2448
2009,101,0.2496
2010,101,0.2338
2011,101,0.2657
2012,101,0.2641
2013,101,0.216
2014,101,0.1893
2015,101,0.2054
2016,101,0.1802
2017,101,0.1702
2018,101,0.1567
2019,101,0.1596
2020,101,0.3102
2008,102,0.5221
2009,102,0.5589
2010,102,0.4964
2011,102,0.4723
2012,102,0.4785
2013,102,0.3687
2014,102,0.3041
2015,102,0.305
2016,102,0.3194
2017,102,0.3284
2018,102,0.3437
2019,102,0.4063
2020,102,0.4428
2008,103,0.5064
2009,103,0.6976
2010,103,0.6451
2011,103,0.5768
2012,103,0.5609
2013,103,0.4904
2014,103,0.5541
2015,103,0.5277
2016,103,0.5312
2017,103,0.5352
2018,103,0.5607
2019,103,0.3754
2020,103,0.4098
2008,104,0.4631
2009,104,0.4551
2010,104,0.4155
2011,104,0.4107
2012,104,0.381
2013,104,0.3104
2014,104,0.3029
2015,104,0.2934
2016,104,0.2482
2017,104,0.2771
2018,104,0.2626
2019,104,0.2369
2020,104,0.2716
2008,105,0.7481
2009,105,1.0904
2010,105,0.9119
2011,105,0.7935
2012,105,0.7497
2013,105,0.6442
2014,105,0.387
2015,105,0.3296
2016,105,0.3185
2017,105,0.3446
2018,105,0.3486
2019,105,0.3466
2020,105,0.3678
2008,106,0.2188
2009,106,0.2347
2010,106,0.2339
2011,106,0.3251
2012,106,0.3244
2013,106,0.3546
2014,106,0.369
2015,106,0.3682
2016,106,0.2956
2017,106,0.3628
2018,106,0.34
2019,106,0.3331
2020,106,0.3637
2008,107,0.3717
2009,107,0.4051
2010,107,0.4114
2011,107,0.5204
2012,107,0.5377
2013,107,0.4461
2014,107,0.4861
2015,107,0.4771
2016,107,0.3976
2017,107,0.4097
2018,107,0.4076
2019,107,0.3193
2020,107,0.355
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,0.0914
2015,108,0.1936
2016,108,0.1844
2017,108,0.1838
2018,108,0.2012
2019,108,0.2234
2020,108,0.3625
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,
2013,109,0.1917
2014,109,0.3145
2015,109,0.3266
2016,109,0.3396
2017,109,0.3011
2018,109,0.2811
2019,109,0.2138
2020,109,0.166
2008,110,0.4881
2009,110,0.4957
2010,110,0.4106
2011,110,0.4788
2012,110,1.1043
2013,110,1.1135
2014,110,1.0827
2015,110,1.0939
