Date,Id,total liabilities
2020,98,257047
2008,99,134485
2009,99,147849
2010,99,168052
2011,99,189760
2012,99,186181
2013,99,194850
2014,99,192691
2015,99,204688
2016,99,184355
2017,99,190535
2018,99,
2019,99,
2020,99,
2008,100,791232
2009,100,687094
2010,100,747150
2011,100,801757
2012,100,852548
2013,100,793506
2014,100,911563
2015,100,740749
2016,100,745733
2017,100,1033495
2018,100,1020280
2019,100,1127221
2020,100,1558365
2008,101,34586
2009,101,34885
2010,101,33989
2011,101,31235
2012,101,32908
2013,101,35802
2014,101,30862
2015,101,34176
2016,101,35036
2017,101,33153
2018,101,31063
2019,101,33763
2020,101,44026
2008,102,180353
2009,102,163628
2010,102,183230
2011,102,205503
2012,102,206735
2013,102,205302
2014,102,216473
2015,102,226857
2016,102,245620
2017,102,266747
2018,102,244214
2019,102,241906
2020,102,293868
2008,103,187677
2009,103,157710
2010,103,172742
2011,103,153364
2012,103,148404
2013,103,144036
2014,103,158428
2015,103,150339
2016,103,151543
2017,103,152455
2018,103,159361
2019,103,
2020,103,
2008,104,28345
2009,104,31569
2010,104,30509
2011,104,32598
2012,104,35835
2013,104,46776
2014,104,36916
2015,104,36800
2016,104,33216
2017,104,50062
2018,104,56784
2019,104,79761
2020,104,141690
2008,105,10677
2009,105,9334
2010,105,10428
2011,105,11614
2012,105,13690
2013,105,9225
2014,105,13970
2015,105,13864
2016,105,14784
2017,105,20132
2018,105,27267
2019,105,36683
2020,105,33966
2008,106,134260
2009,106,98136
2010,106,88310
2011,106,192200
2012,106,198917
2013,106,181546
2014,106,179933
2015,106,244880
2016,106,217133
2017,106,297450
2018,106,297391
2019,106,305336
2020,106,355662
2008,107,238178
2009,107,234722
2010,107,250466
2011,107,199456
2012,107,174120
2013,107,167686
2014,107,166526
2015,107,133487
2016,107,116127
2017,107,119884
2018,107,118550
2019,107,140525
2020,107,78651
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,50920
2014,108,51176
2015,108,158691
2016,108,420689
2017,108,420733
2018,108,799415
2019,108,775236
2020,108,789777
2008,109,
2009,109,68451
2010,109,143067
2011,109,89233
2012,109,86897
2013,109,56695
2014,109,66283
2015,109,81327
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,12444
2009,110,14759
2010,110,17859
2011,110,14319
2012,110,56436
2013,110,90953
2014,110,23199
2015,110,4215
2016,110,3721
2017,110,1280
2018,110,513
2019,110,708
2020,110,991
2008,111,176151
2009,111,171598
2010,111,77226
2011,111,57128
2012,111,44789
2013,111,42261
2014,111,38515
2015,111,40520
2016,111,53894
2017,111,1042
2018,111,2527
2019,111,38588
2020,111,51722
2008,112,455663
2009,112,388696
2010,112,455436
2011,112,553395
2012,112,522670
2013,112,599275
2014,112,681281
2015,112,944951
2016,112,1041331
2017,112,1048678
2018,112,1189673
2019,112,1737798
2020,112,
2008,113,188621
2009,113,154615
2010,113,190359
2011,113,230318
2012,113,218220
2013,113,209161
2014,113,241383
2015,113,273787
2016,113,313383
2017,113,346372
2018,113,378416
2019,113,390978
2020,113,425977
2008,114,39749
2009,114,24669
2010,114,25225
2011,114,33434
2012,114,32211
2013,114,26721
2014,114,32047
2015,114,36470
2016,114,38531
2017,114,45443
2018,114,46814
2019,114,39670
2020,114,
2008,115,57709
2009,115,49051
2010,115,51585
2011,115,57934
2012,115,56065
2013,115,65480
2014,115,67912
2015,115,66979
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,79911
2009,116,62924
2010,116,58282
2011,116,63604
2012,116,54751
2013,116,47311
2014,116,57573
2015,116,56300
2016,116,61928
2017,116,64565
2018,116,104612
2019,116,119038
2020,116,128720
2008,117,79767
2009,117,84027
2010,117,76313
2011,117,114829
2012,117,121204
2013,117,133010
2014,117,148325
2015,117,180167
2016,117,172862
2017,117,177906
2018,117,220255
2019,117,238510
2020,117,277055
2008,118,644072
2009,118,536733
2010,118,634639
2011,118,716465
2012,118,633099
2013,118,599652
2014,118,570907
2015,118,519205
2016,118,417705
2017,118,440380
2018,118,424059
2019,118,447804
2020,118,712944
2008,119,369578
2009,119,369510
2010,119,399350
2011,119,367813
2012,119,328270
2013,119,358659
2014,119,474578
2015,119,622255
2016,119,722594
2017,119,728036
2018,119,752684
2019,119,938930
2020,119,939703
2008,120,
2009,120,
2010,120,
2011,120,2033082
2012,120,1806493
2013,120,3425198
2014,120,3893238
2015,120,4679674
2016,120,4280918
2017,120,5013902
2018,120,5849164
2019,120,6115714
2020,120,7837521
2008,121,
2009,121,
2010,121,
2011,121,32036000
2012,121,32257000
2013,121,34173000
2014,121,37387843
2015,121,37433124
2016,121,38148468
2017,121,35846154
2018,121,35163400
2019,121,36137596
2020,121,35020440
2008,122,3257243
2009,122,3499629
2010,122,3428045
2011,122,3543552
2012,122,3767507
2013,122,3866849
2014,122,3504018
2015,122,3383923
2016,122,3496490
2017,122,2929864
2018,122,2759158
2019,122,3093152
2020,122,3062523
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,13265
