Date,Id,other proceeds
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,0
2015,75,0
2016,75,0
2017,75,0
2018,75,453
2019,75,0
2020,75,945
2008,76,1000
2009,76,3445000
2010,76,2000
2011,76,7000
2012,76,0
2013,76,4000
2014,76,2000
2015,76,0
2016,76,0
2017,76,0
2018,76,0
2019,76,0
2020,76,0
2008,77,6906
2009,77,0
2010,77,0
2011,77,0
2012,77,0
2013,77,0
2014,77,0
2015,77,0
2016,77,0
2017,77,0
2018,77,52622
2019,77,0
2020,77,0
2008,78,0
2009,78,0
2010,78,0
2011,78,0
2012,78,0
2013,78,104271
2014,78,0
2015,78,19000
2016,78,0
2017,78,15400
2018,78,0
2019,78,31300
2020,78,0
2008,79,0
2009,79,0
2010,79,
2011,79,0
2012,79,0
2013,79,0
2014,79,0
2015,79,0
2016,79,0
2017,79,0
2018,79,0
2019,79,0
2020,79,0
2008,80,0
2009,80,0
2010,80,0
2011,80,0
2012,80,0
2013,80,0
2014,80,0
2015,80,0
2016,80,0
2017,80,0
2018,80,540
2019,80,0
2020,80,0
2008,81,
2009,81,0
2010,81,10000
2011,81,0
2012,81,0
2013,81,0
2014,81,0
2015,81,0
2016,81,0
2017,81,0
2018,81,0
2019,81,0
2020,81,0
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,
2015,82,
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,0
2009,83,
2010,83,0
2011,83,0
2012,83,0
2013,83,0
2014,83,0
2015,83,0
2016,83,0
2017,83,0
2018,83,0
2019,83,0
2020,83,0
2008,84,274006
2009,84,187851
2010,84,39116
2011,84,34844
2012,84,24868
2013,84,3246
2014,84,5170
2015,84,289
2016,84,11487
2017,84,1546
2018,84,928
2019,84,79
2020,84,82
2008,85,0
2009,85,0
2010,85,0
2011,85,0
2012,85,0
2013,85,0
2014,85,0
2015,85,0
2016,85,0
2017,85,0
2018,85,0
2019,85,0
2020,85,0
2008,86,274006
2009,86,187851
2010,86,39116
2011,86,34844
2012,86,24868
2013,86,3246
2014,86,5170
2015,86,289
2016,86,11487
2017,86,1546
2018,86,928
2019,86,79
2020,86,82
2008,87,0
2009,87,0
2010,87,0
2011,87,0
2012,87,0
2013,87,197
2014,87,0
2015,87,3
2016,87,7735
2017,87,0
2018,87,276
2019,87,2980
2020,87,
2008,88,1600
2009,88,2009
2010,88,437
2011,88,1113
2012,88,1610
2013,88,1395
2014,88,0
2015,88,1200
2016,88,1000
2017,88,468
2018,88,1870
2019,88,
2020,88,
2008,89,69149
2009,89,
2010,89,0
2011,89,502
2012,89,2900
2013,89,0
2014,89,0
2015,89,0
2016,89,0
2017,89,0
2018,89,0
2019,89,
2020,89,
2008,90,
2009,90,31978
2010,90,1795
2011,90,1016
2012,90,4433
2013,90,2536
2014,90,21775
2015,90,15637
2016,90,100186
2017,90,29735
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,3205
2014,91,0
2015,91,0
2016,91,0
2017,91,0
2018,91,0
2019,91,0
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,
2015,92,66
2016,92,29
2017,92,19
2018,92,0
2019,92,0
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,353
2009,95,0
2010,95,0
2011,95,0
2012,95,2388
2013,95,1671
2014,95,1955
2015,95,4206
2016,95,2349
2017,95,144
2018,95,0
2019,95,0
2020,95,0
2008,96,0
2009,96,289
2010,96,0
2011,96,
2012,96,0
2013,96,2284
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,0
2009,97,0
2010,97,42
2011,97,894
2012,97,5500
2013,97,0
2014,97,289
2015,97,4111
2016,97,0
2017,97,0
2018,97,0
2019,97,0
2020,97,0
2008,98,0
2009,98,0
2010,98,0
2011,98,0
2012,98,0
2013,98,2273
2014,98,626
2015,98,17949
2016,98,0
2017,98,19702
2018,98,0
2019,98,7016
2020,98,0
2008,99,5772
2009,99,5217
2010,99,0
2011,99,0
2012,99,9485
2013,99,0
2014,99,0
2015,99,0
2016,99,0
2017,99,152
2018,99,
2019,99,
2020,99,
2008,100,244
2009,100,0
2010,100,0
2011,100,0
2012,100,
2013,100,0
2014,100,0
2015,100,0
2016,100,0
2017,100,0
2018,100,0
2019,100,0
2020,100,0
2008,101,0
2009,101,352
2010,101,0
2011,101,0
2012,101,0
2013,101,625
2014,101,36
2015,101,3283
2016,101,69
2017,101,410
2018,101,0
2019,101,0
2020,101,0
2008,102,0
2009,102,0
2010,102,120
2011,102,8815
2012,102,0
2013,102,1928
2014,102,0
2015,102,0
2016,102,0
2017,102,0
2018,102,9731
2019,102,2540
2020,102,0
2008,103,0
2009,103,3008
2010,103,5012
2011,103,0
2012,103,1083
2013,103,0
2014,103,0
2015,103,4247
2016,103,0
2017,103,0
2018,103,0
2019,103,
2020,103,
2008,104,
2009,104,0
2010,104,0
2011,104,0
2012,104,0
