Date,Id,inventories
2013,96,1879
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,24383
2009,97,22504
2010,97,23761
2011,97,10621
2012,97,4970
2013,97,5154
2014,97,4111
2015,97,0
2016,97,0
2017,97,0
2018,97,0
2019,97,0
2020,97,0
2008,98,41443
2009,98,50959
2010,98,68311
2011,98,81262
2012,98,83972
2013,98,86439
2014,98,101320
2015,98,106193
2016,98,128870
2017,98,142802
2018,98,160396
2019,98,171127
2020,98,191234
2008,99,5678
2009,99,6898
2010,99,6484
2011,99,7544
2012,99,7302
2013,99,9519
2014,99,9465
2015,99,11993
2016,99,13866
2017,99,14199
2018,99,
2019,99,
2020,99,
2008,100,324770
2009,100,261546
2010,100,293897
2011,100,333703
2012,100,278033
2013,100,283415
2014,100,317763
2015,100,323420
2016,100,320786
2017,100,329710
2018,100,404829
2019,100,343535
2020,100,423977
2008,101,16595
2009,101,16354
2010,101,17470
2011,101,19398
2012,101,14598
2013,101,18830
2014,101,14729
2015,101,14845
2016,101,16334
2017,101,16718
2018,101,15403
2019,101,15658
2020,101,15854
2008,102,51868
2009,102,41451
2010,102,42671
2011,102,50598
2012,102,49597
2013,102,52327
2014,102,57609
2015,102,62701
2016,102,67732
2017,102,73298
2018,102,76196
2019,102,72890
2020,102,76876
2008,103,60803
2009,103,44667
2010,103,54130
2011,103,49003
2012,103,36749
2013,103,35088
2014,103,34337
2015,103,39151
2016,103,40475
2017,103,41573
2018,103,28338
2019,103,
2020,103,
2008,104,8448
2009,104,8146
2010,104,7924
2011,104,10104
2012,104,11911
2013,104,14227
2014,104,15836
2015,104,15962
2016,104,16344
2017,104,18991
2018,104,22027
2019,104,35820
2020,104,37959
2008,105,4786
2009,105,3360
2010,105,3844
2011,105,3659
2012,105,4852
2013,105,3126
2014,105,2663
2015,105,3403
2016,105,3159
2017,105,4858
2018,105,8421
2019,105,12306
2020,105,7235
2008,106,89258
2009,106,69389
2010,106,70665
2011,106,125474
2012,106,120958
2013,106,118515
2014,106,127665
2015,106,138359
2016,106,127362
2017,106,155727
2018,106,156678
2019,106,158336
2020,106,163602
2008,107,93338
2009,107,86779
2010,107,72417
2011,107,73348
2012,107,51036
2013,107,45851
2014,107,37238
2015,107,21321
2016,107,20837
2017,107,25130
2018,107,22444
2019,107,20509
2020,107,28885
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,0
2014,108,0
2015,108,118519
2016,108,177406
2017,108,178699
2018,108,262432
2019,108,258409
2020,108,256288
2008,109,
2009,109,4176
2010,109,7508
2011,109,8996
2012,109,12442
2013,109,15872
2014,109,16107
2015,109,21385
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,1931
2009,110,171
2010,110,559
2011,110,0
2012,110,1078
2013,110,0
2014,110,0
2015,110,0
2016,110,0
2017,110,0
2018,110,0
2019,110,0
2020,110,0
2008,111,22616
2009,111,21201
2010,111,7170
2011,111,8109
2012,111,8405
2013,111,8070
2014,111,7280
2015,111,7060
2016,111,12790
2017,111,0
2018,111,0
2019,111,0
2020,111,0
2008,112,167704
2009,112,144761
2010,112,165023
2011,112,211375
2012,112,206359
2013,112,204679
2014,112,212854
2015,112,232960
2016,112,278909
2017,112,309693
2018,112,319724
2019,112,344244
