Date,Id,Net_income
2020,83,45627
2008,84,52165
2009,84,62293
2010,84,22866
2011,84,1211
2012,84,-57573
2013,84,-130360
2014,84,-14468
2015,84,18687
2016,84,21249
2017,84,-2966
2018,84,4535
2019,84,-69807
2020,84,16313
2008,85,-6449
2009,85,-6945
2010,85,1367
2011,85,-3125
2012,85,-12334
2013,85,1775
2014,85,5478
2015,85,9790
2016,85,3132
2017,85,14568
2018,85,27170
2019,85,15597
2020,85,33551
2008,86,52165
2009,86,62293
2010,86,22866
2011,86,1211
2012,86,-57573
2013,86,-130360
2014,86,-14468
2015,86,18687
2016,86,21249
2017,86,-2966
2018,86,4535
2019,86,-69807
2020,86,16313
2008,87,-5418
2009,87,-6369
2010,87,-3069
2011,87,-9328
2012,87,-20967
2013,87,-4434
2014,87,-14281
2015,87,-7303
2016,87,32677
2017,87,-1556
2018,87,-4703
2019,87,-4819
2020,87,
2008,88,-13096
2009,88,59
2010,88,-1741
2011,88,-8080
2012,88,-7181
2013,88,-4162
2014,88,-2983
2015,88,-1772
2016,88,-4234
2017,88,-2317
2018,88,-3433
2019,88,
2020,88,
2008,89,15127
2009,89,-4709
2010,89,-18242
2011,89,-14525
2012,89,-11939
2013,89,-8563
2014,89,-8557
2015,89,-3454
2016,89,5623
2017,89,-5454
2018,89,-3982
2019,89,
2020,89,
2008,90,2402
2009,90,4098
2010,90,9117
2011,90,10000
2012,90,10183
2013,90,12620
2014,90,13802
2015,90,16608
2016,90,33930
2017,90,18571
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,-1981
2013,91,-2381
2014,91,-2997
2015,91,-1494
2016,91,2428
2017,91,1806
2018,91,1930
2019,91,1573
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,290
2015,92,-671
2016,92,-1221
2017,92,-2129
2018,92,259
2019,92,-2767
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
