Date,Id,market value
2012,78,1364.78
2013,78,2345.22
2014,78,2897.15
2015,78,3649.37
2016,78,3265.07
2017,78,4334.55
2018,78,3965.15
2019,78,5809.2
2020,78,4438.82
2008,79,43.12
2009,79,80.91
2010,79,84.13
2011,79,49.84
2012,79,47.08
2013,79,80.45
2014,79,84.28
2015,79,122.59
2016,79,122.59
2017,79,176.84
2018,79,326.6
2019,79,394.69
2020,79,449.94
2008,80,345.76
2009,80,353.02
2010,80,369.43
2011,80,316.69
2012,80,298.64
2013,80,419.83
2014,80,428.04
2015,80,511.95
2016,80,638.54
2017,80,831.22
2018,80,729.02
2019,80,894.28
2020,80,852.09
2008,81,128.29
2009,81,142.66
2010,81,135.48
2011,81,89.25
2012,81,96.05
2013,81,107.68
2014,81,94.07
2015,81,79.64
2016,81,82.84
2017,81,104.54
2018,81,104.21
2019,81,113.07
2020,81,110.71
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,195.08
2015,82,62.03
2016,82,42.23
2017,82,19.64
2018,82,19.64
2019,82,19.64
2020,82,19.64
2008,83,272
2009,83,312
2010,83,382.4
2011,83,360.64
2012,83,397.76
2013,83,434.72
2014,83,446.16
2015,83,533.72
2016,83,485.76
2017,83,716.32
2018,83,748
2019,83,1117.6
2020,83,1203.84
2008,84,265.75
2009,84,474.68
2010,84,473.96
2011,84,400.6
2012,84,289.55
2013,84,402.4
2014,84,310.7
2015,84,299.19
2016,84,274.02
2017,84,416.42
2018,84,333.35
2019,84,394.13
2020,84,561.97
2008,85,56.6
2009,85,92.84
2010,85,91.87
2011,85,53.22
2012,85,58.21
2013,85,101.85
2014,85,102.38
2015,85,138.89
2016,85,115.34
2017,85,190.84
2018,85,234.08
2019,85,310.72
2020,85,366.23
2008,86,265.75
2009,86,474.68
2010,86,473.96
2011,86,400.6
2012,86,289.55
2013,86,402.4
2014,86,310.7
2015,86,299.19
2016,86,274.02
2017,86,416.42
2018,86,333.35
2019,86,394.13
2020,86,561.97
2008,87,27.25
2009,87,40.05
2010,87,22.34
2011,87,10.1
2012,87,3.23
2013,87,6.09
2014,87,3.52
2015,87,3.04
2016,87,136.12
2017,87,26.95
2018,87,22.01
2019,87,20.74
2020,87,11.31
2008,88,26.56
2009,88,27.46
2010,88,20.26
2011,88,12.77
2012,88,11.17
2013,88,9.99
2014,88,9.48
2015,88,8.98
2016,88,6.73
2017,88,6.52
2018,88,4.07
2019,88,6.83
2020,88,6.83
2008,89,68.52
2009,89,88.22
2010,89,67.65
2011,89,75.95
2012,89,76.16
2013,89,101.6
2014,89,103.08
2015,89,98.71
2016,89,80
2017,89,89.54
2018,89,71.04
2019,89,70.54
2020,89,70.54
2008,90,
2009,90,263.11
2010,90,497.97
2011,90,442.64
2012,90,683.17
2013,90,1897.56
2014,90,1139.61
2015,90,2944.36
2016,90,2447.1
2017,90,2654.67
2018,90,3642.56
2019,90,3642.56
2020,90,3642.56
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,
2013,91,31.34
2014,91,12.55
2015,91,10.58
2016,91,12.25
2017,91,78.23
2018,91,58.38
2019,91,25.98
2020,91,15.25
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,17.79
2015,92,14.86
2016,92,9.04
2017,92,19.96
2018,92,4.65
2019,92,15.21
2020,92,13.69
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,11.36
2015,93,12.15
2016,93,6.56
2017,93,6.44
2018,93,6.44
2019,93,6.44
2020,93,6.44
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,164.29
2009,95,602.2
2010,95,815.21
2011,95,722.04
2012,95,838.23
2013,95,904.92
2014,95,1101.43
2015,95,1802.05
2016,95,2047.22
2017,95,2906.08
2018,95,3180.27
2019,95,5804.6
2020,95,7706.26
2008,96,132.13
2009,96,171.3
2010,96,119.13
2011,96,55.94
2012,96,52.74
2013,96,54.15
2014,96,40.97
