Date,Id,working capital
2017,76,-1650000
2018,76,-2138000
2019,76,-1680000
2020,76,-2748000
2008,77,-348183
2009,77,-293955
2010,77,-418041
2011,77,-544648
2012,77,-319914
2013,77,-625477
2014,77,-35816
2015,77,457962
2016,77,439448
2017,77,526826
2018,77,530
2019,77,-51776
2020,77,494900
2008,78,-31151
2009,78,277695
2010,78,402737
2011,78,293931
2012,78,250138
2013,78,722114
2014,78,481365
2015,78,249000
2016,78,298500
2017,78,218600
2018,78,88500
2019,78,196000
2020,78,443700
2008,79,-36434
2009,79,-40391
2010,79,-28335
2011,79,-44922
2012,79,-31500
2013,79,-41522
2014,79,9152
2015,79,-18201
2016,79,5659
2017,79,12127
2018,79,21304
2019,79,-28348
2020,79,-2657
2008,80,-18554
2009,80,-40294
2010,80,-37560
2011,80,-57229
2012,80,-37835
2013,80,-3236
2014,80,-9467
2015,80,-13098
2016,80,4685
2017,80,1150
2018,80,-4014
2019,80,-63044
2020,80,-114823
2008,81,-46000
2009,81,221000
2010,81,-279000
2011,81,811000
2012,81,512000
2013,81,919000
2014,81,409000
2015,81,527000
2016,81,-195000
2017,81,488000
2018,81,433000
2019,81,196000
2020,81,144000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,17628
2013,82,33622
2014,82,97709
2015,82,19950
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,18310
2009,83,4936
2010,83,-5119
2011,83,522
2012,83,2333
2013,83,2391
2014,83,44361
2015,83,76557
2016,83,34209
2017,83,56805
2018,83,18538
2019,83,22386
2020,83,51932
2008,84,1326573
2009,84,1054243
2010,84,838641
2011,84,681950
2012,84,638642
2013,84,-829895
2014,84,482768
2015,84,536627
2016,84,408319
2017,84,290750
2018,84,149252
2019,84,256927
2020,84,345161
2008,85,-31079
2009,85,4474
2010,85,10227
2011,85,-2799
2012,85,-13793
2013,85,-2988
2014,85,-2150
2015,85,43608
2016,85,49986
2017,85,35753
2018,85,45112
2019,85,47076
2020,85,71151
2008,86,1326573
2009,86,1054243
2010,86,838641
2011,86,681950
2012,86,638642
