Date,Id,cash flows per share
2008,104,0.15
2009,104,0.183
2010,104,0.18
2011,104,0.239
2012,104,0.181
2013,104,0.109
2014,104,0.149
2015,104,0.156
2016,104,0.141
2017,104,0.124
2018,104,0.186
2019,104,-0.068
2020,104,0.236
2008,105,0.157
2009,105,-0.054
2010,105,-0.009
2011,105,0.002
2012,105,0.077
2013,105,0.156
2014,105,0.081
2015,105,-0.008
2016,105,0.067
2017,105,0.173
2018,105,0.101
2019,105,0.111
2020,105,0.207
2008,106,0.242
2009,106,0.193
2010,106,0.199
2011,106,0.09
2012,106,0.124
2013,106,0.14
2014,106,0.129
2015,106,0.129
2016,106,0.195
2017,106,0.191
2018,106,0.219
2019,106,0.223
2020,106,0.272
2008,107,-24.809
2009,107,-31.298
2010,107,11.535
2011,107,-6.223
2012,107,-3.932
2013,107,-10.722
2014,107,-2.064
2015,107,-2.45
2016,107,0.426
2017,107,0.202
2018,107,0.239
2019,107,0.317
2020,107,0.273
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,-0.019
2014,108,-0.056
2015,108,2.944
2016,108,-1.754
2017,108,1.57
2018,108,-1.148
2019,108,1.381
2020,108,1.845
2008,109,
2009,109,0.05
2010,109,0.093
2011,109,0.106
2012,109,0.095
2013,109,0.064
2014,109,0.106
2015,109,0.18
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,-0.707
2009,110,-1.009
2010,110,-0.838
2011,110,-0.048
2012,110,0.043
2013,110,0.053
2014,110,-0.07
2015,110,-0.014
2016,110,-0.014
2017,110,-0.001
2018,110,0
2019,110,-0.002
2020,110,0
2008,111,0.254
2009,111,-0.073
2010,111,-0.191
2011,111,-0.033
2012,111,-0.006
2013,111,0.023
2014,111,0.004
2015,111,-0.009
2016,111,-0.022
2017,111,-0.312
2018,111,-0.042
2019,111,-1.781
2020,111,-0.695
2008,112,1.233
2009,112,1.515
2010,112,0.638
2011,112,1.314
2012,112,0.91
2013,112,0.796
2014,112,0.839
2015,112,1.268
2016,112,1.645
2017,112,1.865
2018,112,2.16
2019,112,3.124
2020,112,
2008,113,0.945
2009,113,-0.489
2010,113,0.091
2011,113,0.572
2012,113,0.572
2013,113,0.697
2014,113,1.235
2015,113,1.92
2016,113,2.065
2017,113,2.221
2018,113,2.523
2019,113,2.32
2020,113,1.534
2008,114,-0.25
2009,114,-0.08
2010,114,0.252
2011,114,0.119
2012,114,0.185
2013,114,-0.269
2014,114,0.673
2015,114,0.651
2016,114,0.655
2017,114,-0.473
2018,114,0.012
2019,114,-0.537
2020,114,
2008,115,0.344
2009,115,-0.151
2010,115,0.093
2011,115,0.214
2012,115,0.256
2013,115,0.152
2014,115,0.231
2015,115,0.403
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,1.794
2009,116,1.816
2010,116,2.911
2011,116,1.62
2012,116,1.526
2013,116,1.908
2014,116,1.997
2015,116,1.677
2016,116,1.557
2017,116,2.464
2018,116,0.545
2019,116,1.096
2020,116,2.315
2008,117,0.061
2009,117,0.074
2010,117,0.053
2011,117,0.071
2012,117,0.087
2013,117,0.062
2014,117,0.07
2015,117,0.11
2016,117,0.037
2017,117,0.062
2018,117,0.075
2019,117,0.125
2020,117,0.023
2008,118,0.988
2009,118,-0.678
2010,118,0.44
2011,118,0.637
2012,118,0.383
2013,118,0.99
2014,118,0.539
2015,118,0.825
2016,118,0.818
2017,118,0.847
2018,118,0.604
2019,118,0.53
2020,118,0.309
2008,119,0.541
2009,119,0.34
2010,119,0.586
2011,119,0.678
2012,119,0.724
2013,119,0.627
2014,119,0.914
2015,119,1.135
2016,119,1.312
2017,119,1.611
2018,119,1.965
2019,119,2.21
2020,119,2.134
2008,120,
2009,120,
2010,120,
2011,120,0.05
2012,120,0.047
2013,120,0.06
2014,120,0.072
2015,120,-0.093
2016,120,0.105
2017,120,0.152
2018,120,0.158
2019,120,0.014
2020,120,-0.04
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,1.637
2013,121,1.467
2014,121,1.376
2015,121,1.28
2016,121,0.869
2017,121,1.35
2018,121,1.456
2019,121,1.38
2020,121,1.097
2008,122,2.918
2009,122,3.868
2010,122,3.292
2011,122,3.846
2012,122,3.729
2013,122,2.942
2014,122,3.807
2015,122,2.288
2016,122,2.015
2017,122,1.879
2018,122,2.582
2019,122,2.337
2020,122,2.057
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,-0.088
2015,123,0.123
2016,123,0.177
2017,123,0.152
2018,123,0.015
2019,123,0.114
2020,123,0.103
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,0.141
2016,124,0.404
2017,124,0.379
2018,124,0.35
2019,124,0.528
2020,124,-1.035
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
