Date,Id,interest expenses on debt
2012,120,18930
2013,120,68401
2014,120,75683
2015,120,86169
2016,120,85848
2017,120,81380
2018,120,82640
2019,120,66964
2020,120,74277
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,512000
2013,121,504000
2014,121,638438
2015,121,810554
2016,121,735688
2017,121,618891
2018,121,550813
2019,121,378437
2020,121,285901
2008,122,14399
2009,122,15417
2010,122,5896
2011,122,9773
2012,122,12259
2013,122,9796
2014,122,8831
2015,122,10026
2016,122,7674
2017,122,7675
2018,122,6101
2019,122,6096
2020,122,6148
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,319
2015,123,226
2016,123,225
2017,123,425
2018,123,211
2019,123,297
2020,123,196
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,428
2016,124,613
2017,124,708
2018,124,977
2019,124,1117
2020,124,2152
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,2100
2016,125,1794
2017,125,1462
2018,125,1483
2019,125,2587
2020,125,1967
2008,126,28017
2009,126,13955
2010,126,13023
2011,126,12936
2012,126,8977
2013,126,8843
2014,126,17311
2015,126,6087
2016,126,5655
2017,126,5744
2018,126,5636
2019,126,5588
2020,126,4261
2008,127,2623
2009,127,2539
2010,127,3715
2011,127,6453
2012,127,6484
2013,127,
2014,127,12370
2015,127,2579
2016,127,3937
2017,127,7204
2018,127,6295
2019,127,6340
2020,127,5729
2008,128,109386
2009,128,83216
2010,128,63214
2011,128,87182
2012,128,100944
2013,128,89730
2014,128,101076
2015,128,96581
2016,128,113229
2017,128,98387
2018,128,92877
2019,128,
2020,128,
2008,129,6118
2009,129,3411
2010,129,2304
2011,129,2866
2012,129,3658
2013,129,2818
2014,129,4769
2015,129,4242
2016,129,3648
2017,129,3144
2018,129,
2019,129,
2020,129,
2008,130,2273
2009,130,3899
2010,130,3068
2011,130,2769
2012,130,5882
2013,130,2224
2014,130,1636
2015,130,1786
2016,130,8206
2017,130,4688
2018,130,1087
2019,130,
2020,130,
2008,131,599
2009,131,135
2010,131,175
2011,131,351
2012,131,409
2013,131,325
2014,131,429
2015,131,1068
2016,131,693
2017,131,577
2018,131,512
2019,131,636
2020,131,684
2008,132,499435
2009,132,492277
2010,132,466852
2011,132,500065
2012,132,651665
2013,132,763252
2014,132,704837
2015,132,140540
2016,132,632628
2017,132,600525
2018,132,710364
2019,132,1098000
2020,132,1276000
2008,133,10522
2009,133,7007
2010,133,5823
2011,133,6347
2012,133,7248
2013,133,8809
2014,133,10420
2015,133,18590
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,84954
2009,134,58022
2010,134,38835
2011,134,63352
2012,134,123021
2013,134,109387
2014,134,119786
2015,134,116913
2016,134,110599
2017,134,98301
2018,134,94614
2019,134,90724
2020,134,82711
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,2766
2013,135,1494
2014,135,1603
2015,135,1259
2016,135,940
2017,135,661
2018,135,520
2019,135,453
2020,135,584
2008,136,3889
2009,136,4382
2010,136,2942
2011,136,3045
2012,136,3216
2013,136,2677
2014,136,2014
2015,136,917
2016,136,667
2017,136,630
2018,136,217
2019,136,513
2020,136,1288
2008,137,22
2009,137,7
2010,137,5
2011,137,61
2012,137,38
2013,137,32
2014,137,13
2015,137,65
2016,137,31
2017,137,35
2018,137,84
2019,137,208
2020,137,196
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,1427
2009,139,183
2010,139,348
2011,139,451
2012,139,389
2013,139,336
2014,139,288
2015,139,224
2016,139,152
2017,139,194
2018,139,206
2019,139,186
2020,139,172
2008,140,5307
2009,140,4488
2010,140,3988
2011,140,3513
2012,140,4056
2013,140,2154
2014,140,1819
2015,140,1361
2016,140,677
2017,140,13
2018,140,1
2019,140,
2020,140,
2008,141,4526
2009,141,2134
2010,141,1070
2011,141,1383
2012,141,1334
2013,141,926
2014,141,991
2015,141,786
2016,141,842
2017,141,595
2018,141,246
2019,141,357
2020,141,336
2008,142,124
2009,142,26
2010,142,4
2011,142,3
2012,142,3
2013,142,2
2014,142,113
2015,142,71
2016,142,5100
2017,142,12300
2018,142,6900
2019,142,7900
2020,142,6500
2008,143,9197
2009,143,5604
2010,143,4398
2011,143,5450
2012,143,6292
2013,143,6664
2014,143,
2015,143,4767
2016,143,3829
2017,143,3592
2018,143,3628
2019,143,4573
2020,143,
2008,144,952
2009,144,467
2010,144,53
2011,144,60
2012,144,139
2013,144,1136
2014,144,2615
2015,144,3833
2016,144,5383
2017,144,2847
2018,144,919
2019,144,621
2020,144,709
2008,145,2011
2009,145,956
2010,145,696
2011,145,833
2012,145,799
2013,145,997
2014,145,1104
2015,145,633
2016,145,442
2017,145,107
2018,145,48
2019,145,85
