Date,Id,operating expense
2020,120,5782700
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,23722000
2013,121,23793000
2014,121,23142796
2015,121,22516901
2016,121,21815150
2017,121,23255389
2018,121,23502477
2019,121,23338735
2020,121,21840934
2008,122,2464599
2009,122,1943921
2010,122,2195386
2011,122,2841422
2012,122,2206786
2013,122,2847654
2014,122,2840838
2015,122,2605019
2016,122,3219370
2017,122,2554622
2018,122,2505824
2019,122,2589136
2020,122,2288572
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,15376
2015,123,15332
2016,123,15692
2017,123,16702
2018,123,55149
2019,123,54772
2020,123,47279
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,22343
2016,124,32409
2017,124,40472
2018,124,43535
2019,124,48356
2020,124,43193
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,198384
2016,125,219068
2017,125,256103
2018,125,286689
2019,125,364133
2020,125,384553
2008,126,3077642
2009,126,1860972
2010,126,2636485
2011,126,3064322
2012,126,2627800
2013,126,2369806
2014,126,2101282
2015,126,8714
2016,126,7346
2017,126,10722
2018,126,7603
2019,126,9947
2020,126,7303
2008,127,63292
2009,127,57406
2010,127,138080
2011,127,117577
2012,127,125116
2013,127,91335
2014,127,70707
2015,127,73013
2016,127,55845
2017,127,59250
2018,127,56100
2019,127,62555
2020,127,58662
2008,128,537629
2009,128,764955
2010,128,873382
2011,128,965571
2012,128,956266
2013,128,1016631
2014,128,1005269
2015,128,1024087
2016,128,990576
2017,128,1039115
2018,128,1026352
2019,128,
2020,128,
2008,129,300673
2009,129,306305
2010,129,296417
2011,129,300990
2012,129,309613
2013,129,101548
2014,129,106344
2015,129,112868
2016,129,124223
2017,129,135061
2018,129,
2019,129,
2020,129,
2008,130,1001636
2009,130,1061677
2010,130,1162851
2011,130,1103010
2012,130,1149724
2013,130,1152967
2014,130,1184685
2015,130,1259354
2016,130,1211837
2017,130,1274519
2018,130,1338076
2019,130,
2020,130,
2008,131,49946
2009,131,49616
2010,131,62979
2011,131,65544
2012,131,60975
2013,131,63335
2014,131,67496
2015,131,116159
2016,131,108447
2017,131,117826
2018,131,104584
2019,131,106739
2020,131,65515
2008,132,1852122
2009,132,1928103
2010,132,2752566
2011,132,3121650
2012,132,3376543
2013,132,3121076
2014,132,3652562
2015,132,3768688
2016,132,3884291
2017,132,3872477
2018,132,5176628
2019,132,10858000
2020,132,8989000
2008,133,134712
2009,133,100226
2010,133,109287
2011,133,120585
2012,133,114787
2013,133,98181
2014,133,92071
2015,133,85043
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,537167
2009,134,769220
2010,134,885344
2011,134,977159
2012,134,973328
2013,134,1026501
2014,134,1015008
2015,134,1046359
2016,134,1122813
2017,134,1372484
2018,134,1553180
2019,134,2055765
2020,134,2185812
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,76118
2013,135,78593
2014,135,64596
2015,135,65898
2016,135,73187
2017,135,76154
2018,135,88877
2019,135,94068
2020,135,84867
2008,136,145238
2009,136,146840
2010,136,127689
2011,136,116069
2012,136,156743
2013,136,113236
2014,136,126442
2015,136,105129
2016,136,91622
2017,136,124612
2018,136,76642
2019,136,79708
2020,136,115269
2008,137,
2009,137,
2010,137,
2011,137,
2012,137,24500
2013,137,25511
2014,137,26381
2015,137,29144
2016,137,30066
2017,137,32117
2018,137,45677
2019,137,46233
2020,137,29627
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,54350
2009,139,9870
