Date,Id,operating income
2012,70,7396
2013,70,10425
2014,70,14746
2015,70,14426
2016,70,11411
2017,70,9240
2018,70,7692
2019,70,7736
2020,70,8832
2008,71,1458
2009,71,1843
2010,71,1924
2011,71,2259
2012,71,630
2013,71,3109
2014,71,3185
2015,71,1491
2016,71,3734
2017,71,4625
2018,71,3036
2019,71,1510
2020,71,-2115
2008,72,11025
2009,72,36549
2010,72,21367
2011,72,4366
2012,72,15403
2013,72,19590
2014,72,37220
2015,72,50409
2016,72,32949
2017,72,33736
2018,72,28289
2019,72,26380
2020,72,52790
2008,73,413
2009,73,-2574
2010,73,-1368
2011,73,754
2012,73,-2275
2013,73,-2783
2014,73,-2321
2015,73,-2880
2016,73,-3444
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,1743
2015,75,804
2016,75,1596
2017,75,-1905
2018,75,271
2019,75,-3054
2020,75,-4898
2008,76,1021000
2009,76,1244000
2010,76,1851000
2011,76,1910000
2012,76,2103000
2013,76,2047000
2014,76,1999000
2015,76,1985000
2016,76,1349000
2017,76,1366000
2018,76,1429000
2019,76,1525000
2020,76,1397000
2008,77,129649
2009,77,97112
2010,77,97390
2011,77,113283
2012,77,97232
2013,77,116374
2014,77,62932
2015,77,113282
2016,77,204429
2017,77,158214
2018,77,220986
2019,77,274428
2020,77,236884
2008,78,208445
2009,78,30418
2010,78,120704
2011,78,120038
2012,78,146434
2013,78,150446
2014,78,128799
2015,78,119000
2016,78,57900
2017,78,-37800
2018,78,29900
2019,78,35000
2020,78,103700
2008,79,1458
2009,79,2909
2010,79,14185
2011,79,9068
2012,79,6683
2013,79,11377
2014,79,569
2015,79,4404
2016,79,244
2017,79,-7033
2018,79,11736
2019,79,11725
2020,79,7868
2008,80,35615
2009,80,39217
2010,80,55808
2011,80,67710
2012,80,75284
2013,80,76788
2014,80,54070
2015,80,57711
2016,80,72360
2017,80,60611
2018,80,55867
2019,80,20809
2020,80,30367
2008,81,562000
2009,81,585000
2010,81,172000
2011,81,1590000
2012,81,278000
2013,81,364000
2014,81,209000
2015,81,27000
2016,81,1206000
2017,81,261000
2018,81,-20000
2019,81,-131000
2020,81,170000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,4661
2013,82,49415
2014,82,68271
2015,82,-62870
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,47380
2009,83,39105
2010,83,47907
2011,83,52462
2012,83,44348
2013,83,39778
2014,83,18970
2015,83,22722
2016,83,26820
2017,83,29092
2018,83,35181
2019,83,42740
2020,83,25479
2008,84,139925
2009,84,118064
2010,84,179513
2011,84,221864
2012,84,62485
2013,84,-649812
2014,84,89949
2015,84,78621
2016,84,108241
2017,84,159932
2018,84,97702
2019,84,85465
2020,84,18077
2008,85,-11961
2009,85,-14946
2010,85,175
2011,85,-11721
2012,85,-11316
2013,85,-3313
2014,85,4483
2015,85,12976
2016,85,1822
2017,85,14611
2018,85,33399
2019,85,30094
2020,85,39414
2008,86,139925
2009,86,118064
2010,86,179513
2011,86,221864
2012,86,62485
2013,86,-649812
2014,86,89949
2015,86,78621
2016,86,108241
2017,86,159932
2018,86,97702
2019,86,85465
2020,86,18077
2008,87,-195
2009,87,-4404
2010,87,-2870
2011,87,-5114
2012,87,-7943
2013,87,-2423
2014,87,-6201
2015,87,-2780
2016,87,-1478
2017,87,-2149
2018,87,-4694
2019,87,-4275
2020,87,
2008,88,-13806
2009,88,-2378
2010,88,-2183
2011,88,-8246
2012,88,-7508
2013,88,-2166
2014,88,-2905
2015,88,-1654
2016,88,-4546
2017,88,-4037
2018,88,-4303
2019,88,
2020,88,
2008,89,13005
2009,89,-14092
2010,89,-18080
2011,89,-11812
2012,89,-10119
2013,89,-8594
2014,89,-6518
2015,89,-4084
2016,89,-4856
2017,89,-1273
2018,89,-1700
2019,89,
2020,89,
2008,90,4903
2009,90,12934
2010,90,14759
2011,90,15936
2012,90,18911
2013,90,23909
2014,90,23254
2015,90,43925
2016,90,53891
2017,90,48117
2018,90,
2019,90,
