Date,Id,closely held shares
2011,131,8168
2012,131,8171
2013,131,9329
2014,131,8665
2015,131,12750
2016,131,12750
2017,131,12750
2018,131,13600
2019,131,13598
2020,131,13605
2008,132,296109
2009,132,296110
2010,132,279622
2011,132,357327
2012,132,418012
2013,132,418061
2014,132,314004
2015,132,314004
2016,132,314004
2017,132,291634
2018,132,359758
2019,132,359221
2020,132,358266
2008,133,112507
2009,133,112525
2010,133,111033
2011,133,147912
2012,133,147913
2013,133,147913
2014,133,143153
2015,133,143153
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,43236
2009,134,45098
2010,134,43522
2011,134,51278
2012,134,45259
2013,134,51278
2014,134,51277
2015,134,55845
2016,134,55845
2017,134,58527
2018,134,58528
2019,134,66815
2020,134,71036
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,
2013,135,
2014,135,13559
2015,135,13559
2016,135,13559
2017,135,24182
2018,135,24171
2019,135,13558
2020,135,15525
2008,136,9584
2009,136,9584
2010,136,9584
2011,136,9584
2012,136,9775
2013,136,9775
2014,136,9775
2015,136,9775
2016,136,9775
2017,136,9878
2018,136,9878
2019,136,9583
2020,136,9583
2008,137,
2009,137,
2010,137,
2011,137,7664
2012,137,7352
2013,137,7664
2014,137,7664
2015,137,6669
2016,137,6824
2017,137,6824
2018,137,7016
2019,137,6749
2020,137,6694
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,8440
2009,139,9128
2010,139,9139
2011,139,8574
2012,139,15038
2013,139,15588
2014,139,15589
2015,139,16189
2016,139,16814
2017,139,14801
2018,139,12068
2019,139,12994
2020,139,14266
2008,140,2707
2009,140,5408
2010,140,5408
2011,140,13
2012,140,13
2013,140,13
2014,140,0
2015,140,0
2016,140,14549
2017,140,12505
2018,140,12505
2019,140,
2020,140,
2008,141,79000
2009,141,78955
2010,141,89257
2011,141,81750
2012,141,81750
2013,141,81750
2014,141,81753
2015,141,81753
2016,141,81753
2017,141,75955
2018,141,75955
2019,141,75961
2020,141,75955
2008,142,47415
2009,142,56557
2010,142,58766
2011,142,57096
2012,142,57096
2013,142,57097
2014,142,57093
2015,142,57093
2016,142,67344
2017,142,67344
2018,142,67745
2019,142,90558
2020,142,90558
2008,143,104689
2009,143,80625
2010,143,76988
2011,143,107715
2012,143,107715
2013,143,107715
2014,143,107712
2015,143,107712
2016,143,107727
2017,143,107727
2018,143,120377
2019,143,119454
2020,143,
2008,144,21850
2009,144,21850
2010,144,21850
2011,144,7101
2012,144,7101
2013,144,7101
2014,144,28951
2015,144,28951
2016,144,28951
2017,144,43679
2018,144,43653
2019,144,43653
2020,144,43653
2008,145,
2009,145,
2010,145,
2011,145,
2012,145,
2013,145,
2014,145,
2015,145,
2016,145,
2017,145,183
2018,145,183
2019,145,27533
2020,145,
2008,146,22864
2009,146,23541
2010,146,25377
2011,146,23572
2012,146,24339
2013,146,24339
