Date,Id,long term debt
2019,128,
2020,128,
2008,129,46734
2009,129,41926
2010,129,55764
2011,129,58150
2012,129,89694
2013,129,46212
2014,129,199321
2015,129,230244
2016,129,214639
2017,129,255839
2018,129,
2019,129,
2020,129,
2008,130,5747
2009,130,4032
2010,130,1621
2011,130,438
2012,130,0
2013,130,0
2014,130,0
2015,130,0
2016,130,0
2017,130,0
2018,130,758
2019,130,
2020,130,
2008,131,0
2009,131,5839
2010,131,13555
2011,131,14870
2012,131,18416
2013,131,19287
2014,131,24700
2015,131,40534
2016,131,36259
2017,131,32327
2018,131,28164
2019,131,27591
2020,131,107146
2008,132,9526826
2009,132,10931177
2010,132,9813310
2011,132,10097100
2012,132,14024900
2013,132,13919836
2014,132,13473457
2015,132,13556796
2016,132,14178732
2017,132,15373593
2018,132,42603355
2019,132,41832000
2020,132,44331000
2008,133,167291
2009,133,241283
2010,133,246944
2011,133,244780
2012,133,275385
2013,133,0
2014,133,2471
2015,133,2756
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,987097
2009,134,1385643
2010,134,1850654
2011,134,1749400
2012,134,1930493
2013,134,2101450
2014,134,2442859
2015,134,2427988
2016,134,1951875
2017,134,1947226
2018,134,2333481
2019,134,2037482
2020,134,2102817
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,30855
2013,135,28619
2014,135,21252
2015,135,32728
2016,135,24896
2017,135,19109
2018,135,14690
2019,135,13080
2020,135,69785
2008,136,6408
2009,136,5370
2010,136,2053
2011,136,1657
2012,136,1441
2013,136,1117
2014,136,19
2015,136,1619
2016,136,1613
2017,136,423
2018,136,4558
2019,136,4302
2020,136,6369
2008,137,0
2009,137,56
2010,137,247
2011,137,1127
2012,137,649
2013,137,486
2014,137,358
2015,137,2822
2016,137,1693
2017,137,10519
2018,137,7210
2019,137,10062
2020,137,13022
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,223
2009,139,1404
2010,139,5038
2011,139,6385
2012,139,308
2013,139,573
2014,139,169
2015,139,217
2016,139,580
2017,139,748
2018,139,1322
2019,139,4114
2020,139,8790
2008,140,44899
2009,140,34203
2010,140,39131
2011,140,34004
2012,140,12572
2013,140,9460
2014,140,38877
2015,140,
2016,140,0
2017,140,
2018,140,
2019,140,
2020,140,
