Date,Id,EBITDA
2019,112,321042
2020,112,
2008,113,46430
2009,113,-20714
2010,113,11396
2011,113,17837
2012,113,13193
2013,113,31971
2014,113,38604
2015,113,55852
2016,113,71843
2017,113,82014
2018,113,82465
2019,113,58961
2020,113,39144
2008,114,289
2009,114,1612
2010,114,2424
2011,114,1831
2012,114,2018
2013,114,-187
2014,114,4405
2015,114,4367
2016,114,4060
2017,114,-1211
2018,114,381
2019,114,-1353
2020,114,
2008,115,13298
2009,115,-3222
2010,115,6114
2011,115,8994
2012,115,8575
2013,115,6623
2014,115,8935
2015,115,13881
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,33168
2009,116,27597
2010,116,36534
2011,116,28335
2012,116,19590
2013,116,23122
2014,116,24732
2015,116,25947
2016,116,25919
2017,116,30909
2018,116,34534
2019,116,25951
2020,116,32558
2008,117,15820
2009,117,15275
2010,117,16174
2011,117,20155
2012,117,21517
2013,117,18633
2014,117,21640
2015,117,25690
2016,117,10150
2017,117,16679
2018,117,18997
2019,117,28439
2020,117,18416
2008,118,70345
2009,118,-21192
2010,118,47805
2011,118,62635
2012,118,38997
2013,118,65085
2014,118,38655
2015,118,47458
2016,118,32941
2017,118,51787
2018,118,46501
2019,118,39771
2020,118,30634
2008,119,85656
2009,119,45426
2010,119,73912
2011,119,95228
2012,119,103943
2013,119,102783
2014,119,133171
2015,119,211474
2016,119,196813
2017,119,243694
2018,119,294018
2019,119,318855
2020,119,285121
2008,120,
2009,120,
2010,120,
2011,120,104558
2012,120,114098
2013,120,233011
2014,120,269062
2015,120,-129484
2016,120,217549
2017,120,285619
2018,120,341081
2019,120,176784
2020,120,7142
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,2860000
2013,121,2968000
2014,121,2942266
2015,121,2881365
2016,121,2296761
2017,121,2900449
2018,121,3735173
2019,121,2844987
2020,121,934409
2008,122,275202
2009,122,243230
2010,122,314834
2011,122,357962
2012,122,365882
2013,122,311676
2014,122,309512
2015,122,370209
2016,122,209530
2017,122,169567
2018,122,194688
2019,122,214590
2020,122,203187
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,960
2015,123,1240
2016,123,1432
2017,123,995
2018,123,519
2019,123,4973
2020,123,4667
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,3391
2016,124,4106
2017,124,4361
2018,124,4663
2019,124,6667
2020,124,-7613
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,24979
2016,125,38967
2017,125,25118
2018,125,35267
2019,125,47593
2020,125,42165
2008,126,17013
2009,126,54691
2010,126,61738
2011,126,63795
2012,126,-19293
2013,126,21020
2014,126,218201
2015,126,13439
2016,126,946
2017,126,41378
2018,126,25890
2019,126,3169
2020,126,9677
2008,127,29136
2009,127,36133
2010,127,37203
2011,127,29394
2012,127,22171
2013,127,
2014,127,19920
2015,127,18879
2016,127,29890
2017,127,34473
2018,127,37790
2019,127,31470
2020,127,12342
2008,128,416878
2009,128,502769
2010,128,521492
2011,128,582849
2012,128,944217
2013,128,586581
2014,128,620217
2015,128,666216
2016,128,687922
2017,128,757080
2018,128,782053
2019,128,
2020,128,
2008,129,54058
2009,129,57726
2010,129,65629
2011,129,73057
2012,129,73800
2013,129,77213
2014,129,57951
2015,129,72503
2016,129,84062
2017,129,94373
2018,129,
2019,129,
2020,129,
2008,130,134805
2009,130,140517
2010,130,149494
2011,130,131188
2012,130,135460
2013,130,131832
2014,130,140311
2015,130,154236
2016,130,141805
2017,130,119506
2018,130,136510
2019,130,
2020,130,
2008,131,9013
2009,131,9966
2010,131,9948
2011,131,11874
2012,131,13031
2013,131,9697
2014,131,11714
2015,131,22016
2016,131,24266
2017,131,25557
2018,131,31999
2019,131,33559
2020,131,-4756
2008,132,1993544
2009,132,1990187
2010,132,2058064
2011,132,2162441
2012,132,2439710
2013,132,2602939
2014,132,2842346
2015,132,2495746
2016,132,3363252
2017,132,3754001
2018,132,3594103
2019,132,5476000
2020,132,2712000
2008,133,38967
2009,133,11969
